Noise,N,0,1,2,3,4
0.0261,100,0.0043,0.1904,0.2617,0.0381,0.0796
0.0146,100,0.1482,0.1103,0.1187,0.0255,0.0067
0.0026,100,0.1885,0.1247,0.0442,0.0809,0.0628
0.0263,200,0.0384,0.0206,0.1035,0.0129,0.0799
0.0131,200,0.0299,0.0483,0.0074,0.0940,0.0199
0.0027,200,0.0426,0.0335,0.0399,0.0823,0.0071
0.0274,400,0.0719,0.0012,0.0115,0.0043,0.1416
0.0138,400,0.0071,0.0742,0.0012,0.0895,0.0252
0.0027,400,0.0315,0.0405,0.0437,0.0539,0.0200
0.0264,800,0.0098,0.0309,0.0454,0.0571,0.0650
0.0134,800,0.0016,0.1038,0.0228,0.0589,0.0233
0.0028,800,0.0019,0.0604,0.1513,0.0006,0.0236
0.0267,1600,0.0884,0.0072,0.0461,0.0068,0.0166
0.0134,1600,0.0354,0.0365,0.0017,0.0018,0.1335
0.0027,1600,0.0799,0.0103,0.0558,0.0121,0.0274
