Noise,N,0,1,2,3,4
0.0261,100,0.4074,0.5266,0.7944,0.9572,1.0000
0.0146,100,0.5623,0.6944,0.8424,0.9322,1.0000
0.0026,100,0.6259,0.8017,0.9643,0.9880,1.0000
0.0263,200,0.5348,0.7454,0.8601,0.9856,1.0000
0.0131,200,0.4959,0.7037,0.7761,0.8750,1.0000
0.0027,200,0.4931,0.5998,0.7213,0.9708,1.0000
0.0274,400,0.3891,0.4630,0.6163,0.9043,1.0000
0.0138,400,0.4530,0.5985,0.8586,0.9860,1.0000
0.0027,400,0.4506,0.5894,0.7251,0.8843,1.0000
0.0264,800,0.4317,0.6045,0.7589,0.8847,1.0000
0.0134,800,0.4512,0.5670,0.6868,0.8444,1.0000
0.0028,800,0.4380,0.5790,0.7555,0.9899,1.0000
0.0267,1600,0.4341,0.5398,0.6780,0.8791,1.0000
0.0134,1600,0.4401,0.5653,0.7377,0.9436,1.0000
0.0027,1600,0.4349,0.4990,0.5830,0.7752,1.0000
