Noise,N,0,1,2,3,4
0.0261,100,0.6353,1.0018,0.8005,1.7139,3.4857
0.0146,100,0.4902,1.1440,1.3583,2.4315,3.3039
0.0026,100,0.7657,1.3587,2.0276,6.8591,39.3889
0.0263,200,0.6012,1.1760,2.0591,1651.9401,1823.6601
0.0131,200,0.4879,0.9059,2.1907,1.7283,2.1435
0.0027,200,0.4748,1.2661,1.2788,1.1990,4.3348
0.0274,400,0.7074,0.8387,0.8850,1.1519,2.5623
0.0138,400,0.5163,0.9334,1.0631,2.6446,6.6944
0.0027,400,0.5230,0.9392,1.5610,1.5498,2.4864
0.0264,800,0.5573,0.9213,1.3656,2.7027,4.5897
0.0134,800,0.5307,0.9178,1.0885,1.5039,1.8021
0.0028,800,0.5351,0.8422,1.1124,1.3854,8.3344
0.0267,1600,0.5484,0.8675,1.1849,1.1859,2.1685
0.0134,1600,0.5486,0.8400,1.1527,1.1374,3.3215
0.0027,1600,0.5462,1.0572,1.0792,1.0654,1.3713
