Noise,N,0,1,2,3,4
0.0261,100,0.0120,0.3610,0.8105,0.4584,-0.0505
0.0261,100,0.5973,-0.3560,0.3266,-0.3702,-0.5223
0.0261,100,0.2594,-0.6914,0.0716,0.4644,0.4836
0.0261,100,0.7496,0.4950,-0.3499,0.2249,0.1415
0.0261,100,-0.1181,-0.1408,-0.3300,0.6217,-0.6861
0.0146,100,-0.7129,-0.5710,-0.0427,-0.3364,0.2252
0.0146,100,-0.1681,-0.0292,0.8901,0.3944,0.1516
0.0146,100,0.1665,0.3873,0.2607,-0.6909,0.5263
0.0146,100,-0.4941,0.5711,-0.3201,0.3952,0.4135
0.0146,100,-0.4377,0.4438,0.1882,-0.3125,-0.6916
0.0026,100,-0.0100,-0.5616,-0.2266,0.6941,0.3891
0.0026,100,-0.0037,0.6789,-0.5790,0.1157,0.4364
0.0026,100,-0.9020,-0.0477,0.1721,-0.1887,0.3448
0.0026,100,-0.1966,0.4565,0.4459,0.6809,-0.3009
0.0026,100,0.3843,0.1136,0.6205,-0.0755,0.6698
0.0263,200,0.2493,0.0791,-0.7202,-0.0990,0.6349
0.0263,200,0.5683,0.6740,0.1033,-0.3866,-0.2502
0.0263,200,0.0701,0.4414,-0.1057,0.8860,-0.0643
0.0263,200,-0.6190,0.5562,0.2708,-0.1628,0.4556
0.0263,200,-0.4762,0.1877,-0.6213,-0.1712,-0.5680
0.0131,200,0.3911,-0.4516,-0.0886,-0.6951,-0.3900
0.0131,200,-0.1170,0.7116,0.1289,-0.6528,0.1930
0.0131,200,0.5233,0.3057,0.6368,0.2442,-0.4092
0.0131,200,0.5642,0.3781,-0.7146,0.1675,-0.0081
0.0131,200,0.4911,-0.2310,0.2436,-0.0546,0.8020
0.0027,200,0.2087,0.1608,-0.5939,-0.7064,-0.2808
0.0027,200,0.7272,-0.6820,0.0382,0.0008,0.0672
0.0027,200,0.5819,0.6389,0.4911,-0.0590,-0.0918
0.0027,200,-0.2581,-0.2171,0.5563,-0.7053,0.2815
0.0027,200,0.1492,0.2315,-0.3085,-0.0058,0.9105
0.0274,400,0.5755,0.0990,-0.0121,0.0704,0.8086
0.0274,400,0.6012,0.1726,0.3960,0.4669,-0.4837
0.0274,400,-0.2857,-0.4031,0.8262,0.0831,0.2578
0.0274,400,-0.2482,0.8822,0.3361,-0.1974,0.0908
0.0274,400,0.4052,-0.1404,0.2180,-0.8551,-0.1935
0.0138,400,0.2108,0.7161,0.1076,0.6067,-0.2515
0.0138,400,-0.4430,-0.0908,-0.2031,0.5691,0.6561
0.0138,400,0.2793,-0.6859,0.0096,0.5523,-0.3825
0.0138,400,-0.7751,-0.0322,0.4622,0.0484,-0.4268
0.0138,400,-0.2836,0.0864,-0.8565,-0.0264,-0.4218
0.0027,400,0.5500,0.4120,-0.4751,0.5046,-0.2178
0.0027,400,-0.1612,-0.4096,0.0114,0.7402,0.5081
0.0027,400,-0.3121,0.6427,-0.2506,-0.1456,0.6368
0.0027,400,-0.6968,-0.0786,-0.5416,0.1204,-0.4477
0.0027,400,-0.2976,0.4932,0.6466,0.4022,-0.2972
0.0264,800,-0.2395,0.4356,-0.4972,0.4786,-0.5260
0.0264,800,-0.4437,0.0707,-0.2210,-0.8202,-0.2767
0.0264,800,-0.4673,0.5320,0.0047,0.0601,0.7035
0.0264,800,-0.6752,-0.3108,0.5642,0.2674,-0.2400
0.0264,800,0.2674,0.6524,0.6209,-0.1522,-0.3069
0.0134,800,0.0124,0.7640,-0.4162,0.3881,-0.3039
0.0134,800,-0.3419,0.2145,-0.1243,-0.8299,-0.3645
0.0134,800,0.4447,-0.1420,0.3925,0.0681,-0.7895
0.0134,800,0.8276,0.1648,-0.2406,-0.3868,0.2836
0.0134,800,-0.0165,0.5683,0.7742,-0.0793,0.2665
0.0028,800,0.0444,0.3518,-0.8481,0.0544,-0.3900
0.0028,800,0.3237,-0.8342,-0.1428,-0.0768,-0.4159
0.0028,800,-0.9276,-0.2683,-0.0605,0.1631,-0.1931
0.0028,800,-0.0925,0.2660,0.3373,-0.6707,-0.5976
0.0028,800,0.1557,0.1937,0.3781,0.7174,-0.5297
0.0267,1600,0.7286,0.1008,0.5697,0.1417,0.3380
0.0267,1600,0.3288,0.5767,-0.3924,0.4785,-0.4199
0.0267,1600,0.5470,-0.1169,-0.4438,-0.6921,-0.1060
0.0267,1600,-0.2351,0.7710,-0.0120,-0.3780,0.4553
0.0267,1600,-0.0811,0.2217,0.5695,-0.3593,-0.7006
0.0134,1600,0.1919,-0.4849,0.1249,-0.0370,0.8432
0.0134,1600,-0.8285,-0.4021,0.1383,-0.3557,-0.0788
0.0134,1600,0.1229,0.3866,-0.2420,-0.8602,0.1925
0.0134,1600,-0.3884,0.6683,0.4218,0.2201,0.4198
0.0134,1600,0.3329,-0.0845,0.8537,-0.2895,-0.2635
0.0027,1600,0.7181,-0.0351,0.5792,-0.1500,0.3539
0.0027,1600,-0.3300,0.6386,0.1289,-0.6346,0.2529
0.0027,1600,-0.5299,-0.2974,0.3121,0.3043,0.6639
0.0027,1600,0.2900,0.0188,-0.7393,-0.0406,0.6061
0.0027,1600,-0.1029,-0.7086,-0.0631,-0.6932,-0.0522
