Noise,N,0,1,2
0.0261,100,1.0000,0.0000,0.0000
0.0261,100,0.0000,1.0000,0.0000
0.0261,100,0.0000,0.0000,1.0000
0.0146,100,1.0000,0.0000,0.0000
0.0146,100,0.0000,1.0000,0.0000
0.0146,100,0.0000,0.0000,1.0000
0.0026,100,1.0000,0.0000,0.0000
0.0026,100,0.0000,1.0000,0.0000
0.0026,100,0.0000,0.0000,1.0000
0.0263,200,1.0000,0.0000,0.0000
0.0263,200,0.0000,1.0000,0.0000
0.0263,200,0.0000,0.0000,1.0000
0.0131,200,1.0000,0.0000,0.0000
0.0131,200,0.0000,1.0000,0.0000
0.0131,200,0.0000,0.0000,1.0000
0.0027,200,1.0000,0.0000,0.0000
0.0027,200,0.0000,1.0000,0.0000
0.0027,200,0.0000,0.0000,1.0000
0.0274,400,1.0000,0.0000,0.0000
0.0274,400,0.0000,1.0000,0.0000
0.0274,400,0.0000,0.0000,1.0000
0.0138,400,1.0000,0.0000,0.0000
0.0138,400,0.0000,1.0000,0.0000
0.0138,400,0.0000,0.0000,1.0000
0.0027,400,1.0000,0.0000,0.0000
0.0027,400,0.0000,1.0000,0.0000
0.0027,400,0.0000,0.0000,1.0000
0.0264,800,1.0000,0.0000,0.0000
0.0264,800,0.0000,1.0000,0.0000
0.0264,800,0.0000,0.0000,1.0000
0.0134,800,1.0000,0.0000,0.0000
0.0134,800,0.0000,1.0000,0.0000
0.0134,800,0.0000,0.0000,1.0000
0.0028,800,1.0000,0.0000,0.0000
0.0028,800,0.0000,1.0000,0.0000
0.0028,800,0.0000,0.0000,1.0000
0.0267,1600,1.0000,0.0000,0.0000
0.0267,1600,0.0000,1.0000,0.0000
0.0267,1600,0.0000,0.0000,1.0000
0.0134,1600,1.0000,0.0000,0.0000
0.0134,1600,0.0000,1.0000,0.0000
0.0134,1600,0.0000,0.0000,1.0000
0.0027,1600,1.0000,0.0000,0.0000
0.0027,1600,0.0000,1.0000,0.0000
0.0027,1600,0.0000,0.0000,1.0000
