Noise,N,0
0.02607386090268778,100,0.39324955767962017
0.014579089766763705,100,0.10238371707540472
0.0026230328035783284,100,0.31202846842575416
0.026275566103089502,200,0.008012268114979196
0.013109956175041095,200,1e-06
0.00270294583944271,200,1e-06
0.02740155559717342,400,0.03448517825984295
0.01382390421837956,400,0.002908996981200805
0.0027086595799486715,400,0.007987710731651323
0.026431523791205717,800,0.001268101090929722
0.01342825294964692,800,0.000308615826630703
0.002766131450104324,800,0.00018652173806912707
0.026655401493999992,1600,0.003617123823765361
0.01338065860073502,1600,0.00027621726412938616
0.002721625861930322,1600,1e-06
