Noise,N,0
0.02607386090268778,100,-120.9790911434866
0.014579089766763705,100,-110.83080929746201
0.0026230328035783284,100,-120.40055065323652
0.026275566103089502,200,-196.9019417217322
0.013109956175041095,200,-169.09677872273917
0.00270294583944271,200,-163.7306566609073
0.02740155559717342,400,-330.228525949195
0.01382390421837956,400,-130.087798654959
0.0027086595799486715,400,-219.24915292046384
0.026431523791205717,800,-236.4231386769384
0.01342825294964692,800,-244.19474886697068
0.002766131450104324,800,-23.698021454566145
0.026655401493999992,1600,-129.06381487123565
0.01338065860073502,1600,-462.6910468407203
0.002721625861930322,1600,-45.22819577051485
