Noise,N,0
0.02607386090268778,100,-134.816286877123
0.014579089766763705,100,-129.70050103951507
0.0026230328035783284,100,-137.0731825736189
0.026275566103089502,200,-256.07228372586286
0.013109956175041095,200,-250.90198247706817
0.00270294583944271,200,-263.7374836879006
0.02740155559717342,400,-526.5519146497497
0.01382390421837956,400,-436.8756679839769
0.0027086595799486715,400,-534.6041281030216
0.026431523791205717,800,-946.9868665571167
0.01342825294964692,800,-1029.9700912606118
0.002766131450104324,800,-1079.3421320158586
0.026655401493999992,1600,-2162.811795124252
0.01338065860073502,1600,-2118.462507357689
0.002721625861930322,1600,-2163.5320744928604
