Noise,N,0,1,2,3,4
0.1,100,,,3.0044606051035885,,1.990663654991064
0.05,100,,3.359810556780375e-08,2.9847705382541223,,2.012068734702901
0.01,100,,3.6975629659859726e-08,3.338762018990538,,1.6526446464385625
0.1,200,,1.8423483585020137e-08,2.6605517638457634,7.450580596923828e-09,2.293111786510644
0.05,200,,1.7223152501312887e-08,2.153733435870959,1.4901161193847656e-08,2.631637240391984
0.01,200,,,2.733399597168384,7.450580596923828e-09,2.2235238141690554
0.1,400,,1.9182813217148666e-08,3.400479866827024,8.99364636232367e-09,1.4413856144150048
0.05,400,,2.6898911733423763e-08,2.939264701740778,0.0,2.0498184616508115
0.01,400,,,2.9515573090624985,,2.0474589522431565
0.1,800,,2.2336501368487026e-08,3.2080394429921335,,1.7796584281948389
0.05,800,,2.957515451201107e-08,3.519944636215002,,1.3203038144149637
0.01,800,,4.144822581520471e-08,3.069282908164332,,1.9286312004528927
0.1,1600,,3.519214970714817e-08,3.766006833339706,2.6341780319308768e-09,0.7390285150812521
0.05,1600,,3.194516009922604e-08,3.125371620077593,5.2683560638617535e-09,1.8590116882117265
0.01,1600,,1.5805068191585264e-08,2.1480837217744932,,2.5671226845575577
