Noise,N,0
0.02607386090268778,100,-126.24014539685257
0.014579089766763705,100,-134.34107501373006
0.0026230328035783284,100,-124.58718073185398
0.026275566103089502,200,-258.18773469597215
0.013109956175041095,200,-243.6044592846412
0.00270294583944271,200,-244.72538851879924
0.02740155559717342,400,-467.42643868903764
0.01382390421837956,400,-367.83325575399215
0.0027086595799486715,400,-475.8240741905343
0.026431523791205717,800,-744.2365117517231
0.01342825294964692,800,-875.3889093581929
0.002766131450104324,800,-842.3044713635746
0.026655401493999992,1600,-1681.460084289141
0.01338065860073502,1600,-1514.3937235423996
0.002721625861930322,1600,-1796.4235940125616
