Noise,N,0,1,2,3,4
0.0276,100,0.4461,0.7199,0.9999,1.0000,1.0000
0.0138,100,0.6788,0.6957,0.9679,0.9773,1.0000
0.0028,100,0.2742,0.7807,0.9996,0.9996,1.0000
0.0271,200,0.4458,0.6852,1.0000,1.0000,1.0000
0.0128,200,0.4234,0.6878,1.0000,1.0000,1.0000
0.0027,200,0.3123,0.7529,1.0000,1.0000,1.0000
0.0263,400,0.3098,0.7555,1.0000,1.0000,1.0000
0.0132,400,0.3129,0.7638,1.0000,1.0000,1.0000
0.0027,400,0.3111,0.7601,1.0000,1.0000,1.0000
0.0264,800,0.3123,0.7625,1.0000,1.0000,1.0000
0.0137,800,0.3134,0.7603,1.0000,1.0000,1.0000
0.0027,800,0.3155,0.7603,1.0000,1.0000,1.0000
0.0265,1600,0.3139,0.7585,1.0000,1.0000,1.0000
0.0137,1600,0.3146,0.7600,1.0000,1.0000,1.0000
0.0027,1600,0.3156,0.7575,1.0000,1.0000,1.0000
