Noise,N,0,1,2,3,4
0.0276,100,0.8863,1.5122,1.3772,7191.6026,30288.8519
0.0138,100,0.7343,562.4610,1.3199,533.0194,775.4245
0.0028,100,0.8658,0.4800,1.3277,80224.6315,81292.6050
0.0271,200,0.8819,1.9390,1.2110,26990.0328,42878.1554
0.0128,200,0.8123,1.8609,1.2306,3993.6828,5435.4465
0.0027,200,0.8658,0.5232,1.0266,54042.7569,56054.8925
0.0263,400,0.8067,0.5191,1.0656,31961.9268,59969.1694
0.0132,400,0.8197,0.5281,1.0128,47802.9897,49336.8818
0.0027,400,0.7867,0.5098,0.9184,425.5518,444.8964
0.0264,800,0.7977,0.5287,1.0534,35272.0732,33458.8891
0.0137,800,0.8013,0.5274,0.9855,35855.9103,35091.4985
0.0027,800,0.7970,0.5232,0.9437,4462.9478,4601.1937
0.0265,1600,0.7939,0.5289,0.9951,75078.6303,75246.7205
0.0137,1600,0.7907,0.5310,0.9842,27741.7348,27481.4888
0.0027,1600,0.7822,0.5257,0.9385,75901.9059,75705.6072
