Noise,N,0,1,2
0.0276,100,1.0000,0.0000,0.0000
0.0276,100,0.0000,1.0000,0.0000
0.0276,100,0.0000,0.0000,1.0000
0.0138,100,1.0000,0.0000,0.0000
0.0138,100,0.0000,1.0000,0.0000
0.0138,100,0.0000,0.0000,1.0000
0.0028,100,1.0000,0.0000,0.0000
0.0028,100,0.0000,1.0000,0.0000
0.0028,100,0.0000,0.0000,1.0000
0.0271,200,1.0000,0.0000,0.0000
0.0271,200,0.0000,1.0000,0.0000
0.0271,200,0.0000,0.0000,1.0000
0.0128,200,1.0000,0.0000,0.0000
0.0128,200,0.0000,1.0000,0.0000
0.0128,200,0.0000,0.0000,1.0000
0.0027,200,1.0000,0.0000,0.0000
0.0027,200,0.0000,1.0000,0.0000
0.0027,200,0.0000,0.0000,1.0000
0.0263,400,1.0000,0.0000,0.0000
0.0263,400,0.0000,1.0000,0.0000
0.0263,400,0.0000,0.0000,1.0000
0.0132,400,1.0000,0.0000,0.0000
0.0132,400,0.0000,1.0000,0.0000
0.0132,400,0.0000,0.0000,1.0000
0.0027,400,1.0000,0.0000,0.0000
0.0027,400,0.0000,1.0000,0.0000
0.0027,400,0.0000,0.0000,1.0000
0.0264,800,1.0000,0.0000,0.0000
0.0264,800,0.0000,1.0000,0.0000
0.0264,800,0.0000,0.0000,1.0000
0.0137,800,1.0000,0.0000,0.0000
0.0137,800,0.0000,1.0000,0.0000
0.0137,800,0.0000,0.0000,1.0000
0.0027,800,1.0000,0.0000,0.0000
0.0027,800,0.0000,1.0000,0.0000
0.0027,800,0.0000,0.0000,1.0000
0.0265,1600,1.0000,0.0000,0.0000
0.0265,1600,0.0000,1.0000,0.0000
0.0265,1600,0.0000,0.0000,1.0000
0.0137,1600,1.0000,0.0000,0.0000
0.0137,1600,0.0000,1.0000,0.0000
0.0137,1600,0.0000,0.0000,1.0000
0.0027,1600,1.0000,0.0000,0.0000
0.0027,1600,0.0000,1.0000,0.0000
0.0027,1600,0.0000,0.0000,1.0000
