Noise,N,0
0.027573967160944953,100,-86.82876930412887
0.01375830884346064,100,-121.71400883925767
0.002848441995512598,100,-65.33468124689938
0.027107406259210286,200,-132.08924633588006
0.012842738006133295,200,-111.97665238575622
0.002662755587236647,200,-10.375933184063696
0.026307640808096576,400,-188.17848047763263
0.013180998202943571,400,-265.3062577049293
0.0026994857509106272,400,-343.65110200305924
0.02644737088692275,800,-785.3259972107099
0.013688385463636954,800,-1034.4970449874315
0.0026960730522389374,800,-1510.3067404545852
0.026509942990730787,1600,-2216.9168803735265
0.01365928605022237,1600,-2891.9861029747412
0.0026975704381844616,1600,-4330.852117853092
