Noise,N,0
0.027573967160944953,100,-89.49303671411529
0.01375830884346064,100,-121.1730839362958
0.002848441995512598,100,-88.66134608535963
0.027107406259210286,200,-129.87168769961463
0.012842738006133295,200,-158.07054992384786
0.002662755587236647,200,-3.4317383501975485
0.026307640808096576,400,-188.16877728028047
0.013180998202943571,400,-265.31901259298013
0.0026994857509106272,400,-340.97824311467997
0.02644737088692275,800,-601.4393057860236
0.013688385463636954,800,-1022.2964115020303
0.0026960730522389374,800,-1508.8364216842651
0.026509942990730787,1600,-2200.7203002366314
0.01365928605022237,1600,-2446.5490921048
0.0026975704381844616,1600,-3530.080830123248
