Noise,N,0
0.027573967160944953,100,-101.01195775369112
0.01375830884346064,100,-119.70672565410445
0.002848441995512598,100,-116.5832646211132
0.027107406259210286,200,-131.79478002840742
0.012842738006133295,200,-143.33281367052228
0.002662755587236647,200,-118.00416544613186
0.026307640808096576,400,-22.449412362776872
0.013180998202943571,400,-9.89196755624863
0.0026994857509106272,400,-38.80068691612985
0.02644737088692275,800,-341.74609817951097
0.013688385463636954,800,-580.1184813786978
0.0026960730522389374,800,-835.4977515531474
0.026509942990730787,1600,-1634.0716014109744
0.01365928605022237,1600,-1111.4757014782335
0.0026975704381844616,1600,-1638.4258834043148
