Noise,N,x0,x1,x2,x3,x4
0.0010,100,-0.4419,0.1701,0.4768,0.5448,0.4662
0.0010,100,0.1230,-0.3736,-0.1291,0.6993,-0.2802
0.0010,100,0.4992,-0.1098,0.8255,-0.1273,-0.1659
0.0010,100,-0.4297,0.2628,0.1755,0.0764,-0.8010
0.0010,100,0.4003,0.6664,-0.1685,0.2432,-0.1040
0.0000,100,-0.5584,0.3116,-0.0019,-0.4579,0.2024
0.0000,100,-0.3451,-0.8729,-0.0002,-0.1350,0.1173
0.0000,100,0.1786,-0.0938,-0.0003,0.5992,0.4044
0.0000,100,0.0020,-0.0000,-1.0000,0.0001,0.0000
0.0000,100,-0.3203,0.1954,0.0000,0.2783,-0.3219
0.0010,200,0.2617,-0.7962,-0.4740,0.2188,0.0580
0.0010,200,0.6375,0.5116,-0.4095,0.2226,0.2976
0.0010,200,0.1615,0.0677,0.3529,0.7115,-0.2977
0.0010,200,-0.5148,0.2119,-0.6256,0.2161,-0.3598
0.0010,200,-0.3618,-0.0932,0.1472,0.3371,0.7569
0.0000,200,-0.1636,-0.4411,0.1408,0.6741,0.0659
0.0000,200,-0.6625,-0.1294,-0.0145,-0.0419,-0.0803
0.0000,200,-0.2447,0.3464,-0.0793,0.1285,-0.5528
0.0000,200,0.2936,0.1076,0.0464,0.6212,-0.3514
0.0000,200,0.0844,-0.0679,-0.9739,0.1107,0.0317
0.0010,400,0.0043,0.5925,0.0857,-0.1573,0.4298
0.0010,400,0.1929,-0.0177,0.0568,0.4319,0.4020
0.0010,400,0.0697,0.2209,0.5558,0.4169,0.1032
0.0010,400,0.2564,0.5763,-0.3738,-0.1824,-0.1836
0.0010,400,0.7737,-0.2936,0.2749,-0.3701,0.2055
0.0000,400,-0.4236,-0.1744,0.5407,0.1613,-0.0007
0.0000,400,0.1689,-0.1350,-0.3474,0.1651,-0.7301
0.0000,400,-0.5912,0.0105,-0.0888,-0.2964,-0.4311
0.0000,400,0.1329,-0.0133,0.4429,0.5981,-0.0995
0.0000,400,0.0528,-0.9497,0.0636,-0.1972,0.0522
0.0010,800,0.1313,-0.0146,-0.7880,-0.0946,-0.3548
0.0010,800,-0.4447,-0.7972,-0.0991,0.1450,0.0199
0.0010,800,0.5480,-0.3083,0.0925,-0.6901,0.2021
0.0010,800,0.0678,0.0353,-0.4423,0.1955,0.8649
0.0010,800,-0.6820,0.3296,-0.1038,-0.6216,0.1382
0.0000,800,-0.5155,-0.0252,-0.4388,-0.4548,-0.5776
0.0000,800,-0.4469,-0.0110,0.8705,-0.1282,-0.1606
0.0000,800,-0.2908,0.4864,-0.0895,-0.0925,0.3877
0.0000,800,0.1917,0.5003,0.0623,-0.4408,0.0769
0.0000,800,0.0514,-0.0095,0.0166,0.5101,-0.4811
0.0010,1600,0.0011,-0.1777,0.8532,-0.2793,-0.4029
0.0010,1600,0.6669,0.1015,-0.2028,-0.5750,-0.0863
0.0010,1600,-0.5664,-0.0142,-0.3562,-0.3956,-0.4779
0.0010,1600,-0.0007,0.0478,0.2406,-0.1130,0.5647
0.0010,1600,0.3664,-0.0693,-0.0442,0.5324,-0.4307
0.0000,1600,-0.0399,0.1580,-0.4543,-0.7742,0.4092
0.0000,1600,-0.4854,-0.4928,0.6023,-0.2786,0.2848
0.0000,1600,-0.1775,0.7634,0.4883,-0.2670,-0.2754
0.0000,1600,0.0245,-0.2645,-0.0734,-0.3163,-0.5723
0.0000,1600,0.6052,-0.0777,0.3071,-0.1583,0.1099
