Noise,N,0,1,2,3,4
0.0000,100,0.1592,-0.7302,-0.1021,0.6347,-0.1678
0.0000,100,0.3110,-0.2714,-0.5785,-0.3173,0.6279
0.0000,100,-0.4920,0.3382,-0.7021,0.3828,-0.0635
0.0000,100,0.0523,-0.2277,-0.3678,-0.5271,-0.7295
0.0000,100,-0.7957,-0.4763,0.1634,-0.2684,0.2031
0.0010,100,0.1253,-0.1290,0.5508,-0.0598,0.8128
0.0010,100,0.1930,0.5347,0.1693,-0.7964,-0.1183
0.0010,100,-0.9404,-0.1038,0.2039,-0.2501,-0.0281
0.0010,100,0.2494,-0.7679,0.2957,-0.3350,-0.3854
0.0010,100,0.0222,0.3116,0.7341,0.4330,-0.4196
0.0000,200,0.4328,0.5662,-0.6619,-0.1294,-0.1932
0.0000,200,-0.4874,0.1681,0.1180,-0.3314,-0.7813
0.0000,200,-0.2036,0.0486,-0.1892,0.9175,-0.2803
0.0000,200,0.2750,0.6416,0.6955,0.1703,-0.0007
0.0000,200,0.6768,-0.4870,0.1687,0.0510,-0.5232
0.0010,200,-0.4351,-0.4973,0.1391,-0.5980,0.4318
0.0010,200,-0.0728,-0.1355,-0.9358,0.1499,0.2797
0.0010,200,0.4303,-0.7810,0.1643,0.4176,0.0596
0.0010,200,-0.6423,0.0737,0.2321,0.6675,0.2873
0.0010,200,-0.4556,-0.3450,-0.1554,0.0005,-0.8058
0.0000,400,0.1089,-0.0802,-0.5023,-0.3356,-0.7853
0.0000,400,0.0944,0.8586,0.1364,-0.4830,0.0446
0.0000,400,0.1670,-0.5062,0.3105,-0.7609,0.2014
0.0000,400,0.3665,0.0046,0.7332,0.2388,-0.5206
0.0000,400,0.9039,0.0117,-0.3083,0.1347,0.2639
0.0010,400,0.6718,0.4465,-0.4419,0.3504,0.1771
0.0010,400,-0.3130,0.3589,-0.4652,-0.6388,0.3855
0.0010,400,-0.3201,0.7035,0.0754,0.1246,-0.6176
0.0010,400,0.4660,0.3054,0.6660,-0.4879,0.0893
0.0010,400,-0.3621,0.2891,0.3728,0.4643,0.6563
0.0000,800,0.4320,0.5500,0.0744,0.0517,-0.7090
0.0000,800,0.0714,-0.5858,0.5315,0.5181,-0.3175
0.0000,800,-0.1798,0.4873,-0.0152,0.7903,0.3246
0.0000,800,0.7282,0.0779,0.4041,-0.0962,0.5395
0.0000,800,0.4956,-0.3327,-0.7406,0.3083,-0.0113
0.0010,800,0.0189,0.2353,-0.6565,0.0179,0.7162
0.0010,800,0.1552,-0.0024,-0.6023,0.5382,-0.5688
0.0010,800,0.5100,0.1168,0.4239,0.6663,0.3202
0.0010,800,0.5591,0.6721,-0.0131,-0.4235,-0.2371
0.0010,800,0.6347,-0.6923,-0.1623,-0.2945,0.0693
0.0000,1600,0.7316,-0.5171,-0.1854,-0.3974,-0.0708
0.0000,1600,0.4405,0.8148,-0.3678,-0.0806,0.0165
0.0000,1600,-0.3962,-0.1928,-0.8937,-0.0496,-0.0680
0.0000,1600,0.0261,0.0414,0.0463,0.1484,-0.9866
0.0000,1600,0.3362,-0.1727,-0.1716,0.9006,0.1290
0.0010,1600,0.4123,0.2944,-0.3606,0.1040,0.7762
0.0010,1600,-0.0443,-0.0113,0.6073,-0.6840,0.4016
0.0010,1600,-0.0260,0.8397,-0.1869,-0.3782,-0.3409
0.0010,1600,-0.7641,0.3326,0.1986,0.4066,0.3175
0.0010,1600,-0.4935,-0.3121,-0.6533,-0.4614,0.1389
