Noise,N,0,1,2,3,4
0.0000,100,0.1137,0.8280,1704.8032,7396.1102,83582.5886
0.0010,100,0.4882,1.2185,2.2575,2.9751,124377.3362
0.0000,200,0.4313,1.4055,1.3587,1.2270,1.8714
0.0010,200,0.4464,1.0574,1.2348,1.4945,1.9835
0.0000,400,0.5128,0.9710,1.3498,1.5152,2.5159
0.0010,400,4.0847,38.3440,42.3076,121607.1821,285391.0329
0.0000,800,0.5290,0.8447,1.1785,1.1420,3.9659
0.0010,800,0.5343,0.8439,0.9181,2.6907,2.9537
0.0000,1600,0.5417,0.7380,0.9249,1.7426,6.3050
0.0010,1600,0.5312,0.8129,0.8562,1.9611,2.8407
