Noise,N,0,1,2,3,4
0.001,100,0.26823003263953143,0.7942312655552188,0.9991213367629138,0.9999795422028852,1.0
0.0,100,0.2647755240869969,0.7874069592486351,0.9994716006474194,0.9998895942291848,1.0
0.001,200,0.3086217250451445,0.7454176325549406,0.9999999525982216,0.9999999868351735,1.0
0.0,200,0.2991122683957927,0.76287707798804,1.0,1.0,1.0
0.001,400,0.3138746690926367,0.762780677660274,0.9999999811598748,0.9999999946199072,1.0
0.0,400,0.3123977292433566,0.7652089493871397,0.9999999999999998,1.0,1.0
0.001,800,0.31474373425546665,0.7605195710892939,1.000000494947212,0.9999998248002266,1.0
0.0,800,0.3148647195531325,0.7574004443187783,1.0,1.0,1.0
0.001,1600,0.315072122377936,0.758911273347359,1.000002026963515,1.0000015430740126,1.0
0.0,1600,0.3145546857023261,0.7583205687715807,0.9999999916984732,0.999999995144496,1.0
