Noise,N,0,1,2,3,4
0.0010,100,0.8729,0.5122,1.4991,263.9418,209.5750
0.0000,100,0.8793,0.5127,1.4826,13968.3221,13679.1655
0.0010,200,0.8769,0.5177,0.9778,44990.3506,43927.9592
0.0000,200,0.8926,0.5125,0.9438,192815.8706,179045.7846
0.0010,400,0.8065,0.5235,0.9224,111372.1660,111511.6712
0.0000,400,0.8363,0.5267,0.9326,244287.6913,301421.5887
0.0010,800,0.7711,0.5119,0.9028,2214.3855,2276.0662
0.0000,800,0.7978,0.5284,0.9371,476731.8080,484755.8422
0.0010,1600,0.7286,0.5014,0.8833,1197.8060,1183.3695
0.0000,1600,0.7771,0.5266,0.9310,170216.7864,170010.1676
