Noise,N,0,1,2,3,4
0.001,100,0.4940554298628044,0.26441567430770424,0.0022322985786062273,9.763909488039555e-05,-3.942499044215664e-15
0.0,100,0.4803007939425903,0.26320198614268275,0.005302052681228873,7.183708900485939e-05,3.6797013452744615e-05
0.001,200,0.4239471543015107,0.3084546305750384,0.0025957128854475,4.4137618438974995e-12,-4.828619419641987e-12
0.0,200,0.4499223377421315,0.2986768952162191,0.0032427355192238593,9.878939146133414e-12,9.878939146133414e-12
0.001,400,0.4438618345344138,0.3135174512492339,0.0010677149790954193,3.29741115320233e-11,-7.998989396864234e-11
0.0,400,0.4477941358564841,0.31238949562993895,0.0010410308981240127,1.5789065198519674e-11,1.5789065198519674e-11
0.001,800,0.4420298881731268,0.31495208434517097,0.00023090996420931957,-5.437476137603097e-08,-5.437476137603097e-08
0.0,800,0.4401752447994616,0.31486027988312504,0.0002068906507618416,4.5917291234104716e-11,4.5917291234104716e-11
0.001,1600,0.44301281492783656,0.31521934888184394,5.059712158967178e-05,-3.7300070570586783e-08,-3.7300070570586783e-08
0.0,1600,0.44291851977511204,0.31449309237932943,5.8855475471579784e-05,-2.4585308418160006e-11,-2.4585308418160006e-11
