Noise,N,x0,x1,x2,x3,x4
0.0000,100,-0.0256,0.4918,0.4970,-0.0007,-0.0000
0.0000,100,0.4997,-0.0038,0.0044,0.5000,-0.0000
0.0000,100,0.4930,0.0529,0.5263,0.0006,0.0002
0.0000,100,-0.0510,0.4974,0.0055,0.5038,0.0037
0.0000,100,0.0002,-0.0037,-0.0000,-0.0000,1.0000
0.0010,100,0.0362,0.4966,0.4908,-0.0001,0.0001
0.0010,100,0.9926,-0.0803,-0.0413,-0.0002,-0.0001
0.0010,100,0.0853,0.5018,0.4978,0.0029,0.0020
0.0010,100,-0.0003,-0.0030,0.0000,0.5000,0.5000
0.0010,100,-0.0001,-0.0019,0.0000,0.5000,0.5000
0.0000,200,-0.0041,1.0000,0.0031,-0.0003,-0.0000
0.0000,200,1.0000,0.0041,0.0023,-0.0001,-0.0000
0.0000,200,-0.0023,-0.0032,1.0000,0.0000,0.0000
0.0000,200,0.0001,0.0003,0.0000,1.0000,-0.0000
0.0000,200,0.0000,0.0000,0.0000,-0.0000,1.0000
0.0010,200,-0.0111,0.4866,0.4993,-0.0011,-0.0000
0.0010,200,0.9777,0.1395,0.0133,0.0496,0.0008
0.0010,200,-0.1425,0.4782,0.5101,0.0370,0.0006
0.0010,200,-0.0006,-0.0008,-0.0000,0.4999,0.5000
0.0010,200,-0.0372,-0.0495,-0.0010,0.4962,0.4999
0.0000,400,0.4964,0.5069,0.0254,-0.0000,-0.0000
0.0000,400,0.4740,0.0279,0.4983,-0.0000,-0.0000
0.0000,400,-0.0052,0.4996,0.4746,-0.0003,-0.0005
0.0000,400,-0.0000,0.0005,0.0000,0.5000,0.5000
0.0000,400,-0.0000,0.0003,0.0000,0.5000,0.5000
0.0010,400,0.0023,0.5044,0.4988,-0.0000,0.0000
0.0010,400,0.9976,-0.0483,-0.0035,0.0005,-0.0002
0.0010,400,0.0498,0.4987,0.4954,-0.0091,0.0036
0.0010,400,0.0004,0.0091,-0.0000,0.9999,0.0000
0.0010,400,-0.0002,-0.0036,0.0000,0.0000,1.0000
0.0000,800,-0.0003,0.5015,0.5004,-0.0000,-0.0000
0.0000,800,0.9945,0.0743,-0.0005,-0.0000,-0.0011
0.0000,800,-0.0008,0.0151,0.5000,-0.0000,0.4998
0.0000,800,-0.0000,0.0001,-0.0000,0.5000,0.5000
0.0000,800,-0.0741,0.4942,-0.0015,0.4999,-0.0155
0.0010,800,0.9977,0.0528,0.0069,-0.0029,0.0110
0.0010,800,-0.0056,0.5051,0.0113,0.4928,-0.0109
0.0010,800,-0.0292,0.1102,0.5950,-0.0008,0.4772
0.0010,800,0.0012,0.0424,0.4874,0.4913,-0.1055
0.0010,800,-0.0420,0.4926,-0.0577,-0.0045,0.3947
0.0000,1600,-0.0001,1.0000,0.0003,0.0000,-0.0000
0.0000,1600,1.0000,0.0001,-0.0001,-0.0000,0.0000
0.0000,1600,0.0001,-0.0003,1.0000,-0.0000,0.0000
0.0000,1600,0.0000,-0.0000,-0.0000,0.5000,0.5000
0.0000,1600,-0.0000,0.0000,0.0000,0.5000,0.5000
0.0010,1600,0.8216,0.0248,0.3638,0.0071,0.0211
0.0010,1600,-0.2567,0.4595,0.7117,0.0573,0.0646
0.0010,1600,0.2517,0.8285,-0.3609,0.0710,-0.0147
0.0010,1600,0.0817,-0.1475,-0.0789,0.4750,0.5020
0.0010,1600,-0.0668,0.0485,-0.0647,0.4908,0.5044
