Noise,N,0,1,2,3,4
0.0010,100,0.5098,0.8748,1.4703,1639.6249,101409.4281
0.0000,100,0.5123,0.8795,1.4686,66558.3883,8337901.7618
0.0010,200,0.5184,0.8757,0.9864,3306174.2123,2078350.3756
0.0000,200,0.5124,0.8928,0.9436,3415027.3249,29421366.9725
0.0010,400,0.5218,0.8053,0.9186,8392495.1786,5169872.2808
0.0000,400,0.5267,0.8364,0.9326,53865215.8854,6055288.1511
0.0010,800,0.5071,0.7621,0.8930,83619.5713,430004.2484
0.0000,800,0.5284,0.7978,0.9371,42379809.6132,135445184.8576
0.0010,1600,0.5065,0.7458,0.8887,73952.4243,62023.1229
0.0000,1600,0.5297,0.7817,0.9354,1658515.9916,51899661.3914
