Noise,N,0,1,2,3,4
0.1374,100,0.7073,608.5789,686.9358,11586.6005,7859.0180
0.0704,100,0.7065,38339.9989,31252.0152,49175.5083,37760.8113
0.0147,100,0.7213,44853.9357,50020.5587,51068.6185,49188.3656
0.1440,200,0.6568,15539.8394,13301.7875,12506.2863,13076.7880
0.0693,200,0.6982,43687.4400,43360.6261,41083.0712,42371.6855
0.0141,200,0.7236,41436.4834,39285.4581,38863.8789,39139.4818
0.1412,400,0.6963,916.8003,840.3274,849.4157,990.0007
0.0706,400,0.7084,8942.8184,9479.7189,9430.6560,9018.9025
0.0143,400,0.7176,23147.1537,22974.2800,22569.7086,22790.6927
0.1378,800,0.6903,2064.6488,8242.5029,10700.4407,10914.4886
0.0715,800,0.7258,2192.1959,2094.3381,2267.1725,2207.8287
0.0142,800,0.7186,66133.3071,65578.3310,62538.3595,66718.3799
0.1400,1600,0.7201,41288.9511,44497.1192,42955.9328,39841.3859
0.0704,1600,0.7097,18014.9695,19288.2362,19246.9844,20184.6555
0.0141,1600,0.7232,139151.0337,135471.8369,141029.3474,143031.7715
