Noise,N,0,1,2,3,4
0.1374,100,0.9991,0.9991,1.0000,1.0000,1.0000
0.0704,100,0.9987,0.9987,1.0000,1.0000,1.0000
0.0147,100,1.0000,1.0000,1.0000,1.0000,1.0000
0.1440,200,0.9993,0.9993,1.0000,1.0000,1.0000
0.0693,200,0.9998,0.9998,1.0000,1.0000,1.0000
0.0141,200,0.9990,0.9990,1.0000,1.0000,1.0000
0.1412,400,0.9997,0.9997,1.0000,1.0000,1.0000
0.0706,400,0.9997,0.9997,1.0000,1.0000,1.0000
0.0143,400,0.9998,0.9998,1.0000,1.0000,1.0000
0.1378,800,1.0000,1.0000,1.0000,1.0000,1.0000
0.0715,800,0.9997,0.9997,1.0000,1.0000,1.0000
0.0142,800,0.9995,0.9995,1.0000,1.0000,1.0000
0.1400,1600,1.0000,1.0000,1.0000,1.0000,1.0000
0.0704,1600,1.0000,1.0000,1.0000,1.0000,1.0000
0.0141,1600,1.0000,1.0000,1.0000,1.0000,1.0000
