Noise,N,0
0.13739061872412758,100,-118.72826491077437
0.07043360569629047,100,-110.111792899373
0.014656653213887186,100,-69.34930800312819
0.1440351717781424,200,-270.28121825146263
0.06926268647752573,200,-229.43211841538417
0.014134517170754056,200,-102.30731537022493
0.14122280363219653,400,-543.6256319551977
0.0706122058593459,400,-516.5982341907312
0.014299172916431175,400,-266.90649044268156
0.1377814890502813,800,-1093.7344688309868
0.07150611448875592,800,-1128.6516488758741
0.014234079326417385,800,-1482.894556957428
0.14003669304096866,1600,-2269.8014968125303
0.07040585375029043,1600,-2269.801496812536
0.014080445040041707,1600,-2269.801496812541
