Noise,N,0,1,2,3,4
0.1,100,0.5678935908819427,,3.69423734169279e-08,5.6199262809944594e-08,4.323216611691889
0.05,100,0.9681220080159596,,,,4.030159363919955
0.01,100,0.9382500486440108,,,5.212347535056828e-08,4.059288425369507
0.1,200,1.5929436506769281,,,3.1229723807155414e-08,3.1288751553224814
0.05,200,1.7407912114096489,,,2.891051043612761e-08,2.8016101653863354
0.01,200,0.5925344796176757,,,2.498565708036609e-08,4.311429222298024
0.1,400,0.7715650967759826,,1.5244438314055734e-08,4.4603650024999206e-08,4.1957470258118095
0.05,400,0.32696036570920434,,1.3276592857781209e-08,3.4712737148837725e-08,4.4240331375398805
0.01,400,0.5733086333433932,,,4.0909853918456284e-08,4.322363444624835
0.1,800,0.3117688039782641,,1.804948186934632e-08,2.8508684215801442e-08,4.428787279410882
0.05,800,0.4212013053746668,,1.6166781908561614e-08,3.5066729636261155e-08,4.391523815117099
0.01,800,1.5494375338161714,,,4.518372100560684e-08,3.224017116211391
0.1,1600,1.6154589922062796,,,3.173995228215066e-08,3.088820375593192
0.05,1600,1.9513445210265437,,,1.9988212717885832e-08,2.1850274036308672
0.01,1600,1.296005800570921,,1.305934492589434e-08,2.8012228137225657e-08,3.6443811594753535
