Noise,N,0
0.13739061872412758,100,-32.73615491888557
0.07043360569629047,100,-98.33864086000494
0.014656653213887186,100,-233.78716783293916
0.1440351717781424,200,-76.52061614784503
0.06926268647752573,200,-218.597364205254
0.014134517170754056,200,-517.838461821038
0.14122280363219653,400,-187.26587039475598
0.0706122058593459,400,-453.59003391231226
0.014299172916431175,400,-1076.997702193113
0.1377814890502813,800,-417.2993155178153
0.07150611448875592,800,-931.4596382172264
0.014234079326417385,800,-2200.057577577022
0.14003669304096866,1600,-837.6395503317874
0.07040585375029043,1600,-1928.9113399594903
0.014080445040041707,1600,-4474.080215465589
