Noise,N,0,1,2,3,4
0.1420,100,0.9989,0.9993,0.9993,1.0000,1.0000
0.0704,100,1.0000,1.0000,1.0000,1.0000,1.0000
0.0141,100,1.0000,1.0000,1.0000,1.0000,1.0000
0.1399,200,0.9999,0.9999,0.9999,1.0000,1.0000
0.0705,200,0.9998,0.9999,0.9999,1.0000,1.0000
0.0142,200,1.0000,1.0000,1.0000,1.0000,1.0000
0.1400,400,0.9998,1.0000,1.0000,1.0000,1.0000
0.0706,400,1.0000,1.0000,1.0000,1.0000,1.0000
0.0141,400,1.0000,1.0000,1.0000,1.0000,1.0000
0.1394,800,1.0000,1.0000,1.0000,1.0000,1.0000
0.0705,800,1.0000,1.0000,1.0000,1.0000,1.0000
0.0141,800,1.0000,1.0000,1.0000,1.0000,1.0000
0.1399,1600,1.0000,1.0000,1.0000,1.0000,1.0000
0.0705,1600,1.0000,1.0000,1.0000,1.0000,1.0000
0.0141,1600,1.0000,1.0000,1.0000,1.0000,1.0000
