Noise,N,0,1,2,3,4
0.1420,100,0.7329,15149.6771,26327.8062,46.3073,23054.1866
0.0704,100,0.7024,38663.9840,40561.0838,42043.8313,42028.2989
0.0141,100,0.7399,804.2663,715.0485,389.6487,648.9494
0.1399,200,0.7093,2723.5572,3816.8179,3274.7038,3330.7729
0.0705,200,0.7327,4894.6094,50984.6728,5167.2490,38682.0036
0.0142,200,0.7193,58848.9449,58029.1740,55119.6020,53985.4884
0.1400,400,0.6678,12705.0819,11541.5387,42648.6745,39682.0296
0.0706,400,0.7160,8554.9628,9335.3840,8727.1010,8607.8078
0.0141,400,0.7122,899.3086,889.3744,836.7199,860.4139
0.1394,800,0.7092,28145.5671,29812.9482,27337.5966,27827.0162
0.0705,800,0.7013,25223.4902,25077.8608,23154.5965,24375.9534
0.0141,800,0.6946,27678.6721,27956.6334,26891.9468,27786.1361
0.1399,1600,0.7103,13107.6376,14052.2522,12494.9726,13254.8495
0.0705,1600,0.7222,54461.3036,58773.0303,56181.5136,49735.7620
0.0141,1600,0.7127,105598.2126,108337.9546,112401.9323,114123.5768
