Noise,N,x0,x1,x2,x3,x4
0.1420,100,1.0000,-0.0008,0.0036,0.0022,-0.0027
0.1420,100,-0.0000,0.5000,0.0000,0.5000,-0.0000
0.1420,100,0.0027,-0.0000,0.5000,0.0000,0.5000
0.1420,100,-0.0014,-0.5000,-0.0000,0.5000,0.0000
0.1420,100,0.0036,-0.0000,-0.5000,0.0000,0.5000
0.0704,100,1.0000,0.0000,0.0000,-0.0000,-0.0000
0.0704,100,0.0000,-0.5000,0.0000,-0.0000,0.5000
0.0704,100,0.0000,0.0000,-0.5000,-0.0000,0.5000
0.0704,100,0.0000,0.0000,0.0000,-0.0000,-0.0000
0.0704,100,0.0000,-0.5000,0.5000,-0.0000,-0.0000
0.0141,100,1.0000,0.0004,0.0001,0.0005,-0.0003
0.0141,100,-0.0008,-0.0000,0.5000,0.5000,0.0000
0.0141,100,0.0002,-0.0000,0.0000,0.0000,-0.0000
0.0141,100,0.0003,0.0000,-0.5000,0.5000,-0.0000
0.0141,100,-0.0004,1.0000,-0.0000,-0.0000,0.0000
0.1399,200,1.0000,-0.0016,0.0010,-0.0037,0.0004
0.1399,200,-0.0016,-0.5000,-0.5000,0.0000,-0.0000
0.1399,200,0.0037,-0.0000,0.0000,-0.0000,0.0000
0.1399,200,0.0010,-0.0000,-0.5000,-0.0000,0.5000
0.1399,200,-0.0004,-0.5000,-0.0000,0.0000,0.5000
0.0705,200,1.0000,0.0020,0.0000,-0.0037,0.0004
0.0705,200,0.0037,0.0000,0.0000,0.5000,-0.5000
0.0705,200,0.0020,-0.5000,0.0000,-0.5000,0.0000
0.0705,200,-0.0004,-0.0000,0.5000,0.0000,0.5000
0.0705,200,-0.0000,0.5000,0.5000,0.0000,-0.0000
0.0142,200,1.0000,-0.0001,-0.0001,-0.0002,0.0002
0.0142,200,0.0002,-0.5000,-0.0000,0.5000,0.0000
0.0142,200,0.0001,-0.0000,0.5000,0.5000,0.0000
0.0142,200,-0.0001,-0.5000,-0.5000,0.0000,-0.0000
0.0142,200,-0.0002,0.0000,0.0000,0.0000,-0.0000
0.1400,400,1.0000,0.0017,0.0017,0.0001,-0.0000
0.1400,400,-0.0017,-0.0000,-0.0000,0.0000,-0.0000
0.1400,400,-0.0017,-0.0000,0.5000,-0.0000,-0.5000
0.1400,400,-0.0000,-0.0000,0.5000,-0.0000,-0.5000
0.1400,400,-0.0001,-0.0000,-0.0000,1.0000,0.0000
0.0706,400,1.0000,-0.0000,0.0000,0.0000,0.0000
0.0706,400,0.0000,-0.0000,0.0000,0.0000,0.0000
0.0706,400,-0.0000,0.0000,-0.0000,1.0000,-0.0000
0.0706,400,-0.0000,0.0000,0.5000,-0.0000,0.5000
0.0706,400,0.0000,-0.0000,-0.5000,0.0000,-0.5000
0.0141,400,1.0000,-0.0000,0.0001,-0.0001,0.0003
0.0141,400,0.0000,0.5000,0.0000,0.5000,0.0000
0.0141,400,-0.0003,-0.0000,-0.0000,0.0000,1.0000
0.0141,400,0.0001,-0.0000,0.5000,0.5000,0.0000
0.0141,400,0.0000,0.5000,-0.5000,-0.0000,0.0000
0.1394,800,1.0000,-0.0000,-0.0001,-0.0004,0.0002
0.1394,800,0.0001,-0.0000,0.5000,-0.5000,0.0000
0.1394,800,0.0004,-0.5000,-0.0000,0.5000,0.0000
0.1394,800,0.0000,0.5000,-0.0000,-0.0000,0.5000
0.1394,800,-0.0002,0.0000,-0.5000,0.0000,0.5000
0.0705,800,1.0000,0.0000,0.0000,0.0000,-0.0000
0.0705,800,0.0000,0.0000,-0.5000,0.0000,0.5000
0.0705,800,-0.0000,-0.0000,-0.0000,-0.0000,0.0000
0.0705,800,0.0000,-0.5000,0.0000,0.0000,-0.5000
0.0705,800,-0.0000,0.5000,0.5000,-0.0000,0.0000
0.0141,800,1.0000,0.0000,-0.0001,-0.0001,-0.0000
0.0141,800,0.0000,0.0000,-0.0000,-0.5000,0.5000
0.0141,800,0.0000,0.0000,-0.0000,-0.0000,-0.0000
0.0141,800,0.0001,0.0000,-0.0000,0.5000,0.5000
0.0141,800,-0.0001,-0.0000,0.0000,0.0000,0.0000
0.1399,1600,1.0000,0.0018,-0.0001,-0.0015,-0.0015
0.1399,1600,-0.0015,-0.0000,0.0000,0.0000,0.0000
0.1399,1600,-0.0015,-0.0000,0.0000,0.0000,-1.0000
0.1399,1600,-0.0018,1.0000,0.0000,0.0000,0.0000
0.1399,1600,0.0001,0.0000,-0.0000,-0.0000,-0.0000
0.0705,1600,1.0000,-0.0002,0.0002,-0.0001,0.0003
0.0705,1600,0.0002,0.5000,0.0000,-0.5000,0.0000
0.0705,1600,-0.0003,-0.5000,-0.0000,0.0000,0.5000
0.0705,1600,0.0001,-0.0000,-0.5000,0.5000,0.0000
0.0705,1600,0.0002,-0.0000,-0.5000,-0.0000,0.5000
0.0141,1600,1.0000,-0.0000,-0.0000,0.0000,-0.0000
0.0141,1600,0.0000,-0.0000,-0.0000,-0.5000,-0.5000
0.0141,1600,-0.0000,0.0000,-1.0000,-0.0000,0.0000
0.0141,1600,0.0000,-0.0000,-0.0000,0.5000,0.5000
0.0141,1600,-0.0000,-1.0000,0.0000,-0.0000,0.0000
