Noise,N,0
0.1420231955411075,100,-31.650239647182122
0.07037930903442637,100,-94.76847561757013
0.014084895580535592,100,-238.9707615453217
0.13986982524520128,200,-86.93668132884622
0.07046010470625326,200,-215.85124639920804
0.014157471968621322,200,-515.5507466777639
0.13995786383757236,400,-190.56143045806098
0.07059738249794054,400,-454.45836514996085
0.01413041687790268,400,-1079.3176235296885
0.13939143981900615,800,-408.1140159466148
0.07048927429759728,800,-943.6467840958346
0.014140700577937792,800,-2205.7416589702443
0.13986045942694794,1600,-841.664713554577
0.07053958788802506,1600,-1924.8898144997172
0.014142425891663991,1600,-4468.740955789435
