Noise,N,0
0.1420231955411075,100,0.018901751347367702
0.07037930903442637,100,0.004997514825011582
0.014084895580535592,100,0.00019469114201450848
0.13986982524520128,200,0.01881257776349337
0.07046010470625326,200,0.004783301720981223
0.014157471968621322,200,0.0001975686633197501
0.13995786383757236,400,0.019263376839178
0.07059738249794054,400,0.005009263234905864
0.01413041687790268,400,0.00019555277492673431
0.13939143981900615,800,0.0194063833165583
0.07048927429759728,800,0.004969319695291753
0.014140700577937792,800,0.00019912648972045464
0.13986045942694794,1600,0.01945824835394422
0.07053958788802506,1600,0.004969369354357923
0.014142425891663991,1600,0.0002004062643009515
