Noise,N,0
0.1420231955411075,100,-32.441885668002
0.07037930903442637,100,-94.76848432395259
0.014084895580535592,100,-240.23071317260502
0.13986982524520128,200,-88.13189048690798
0.07046010470625326,200,-215.590761247644
0.014157471968621322,200,-515.4544505036106
0.13995786383757236,400,-191.55889082978698
0.07059738249794054,400,-454.49945375712286
0.01413041687790268,400,-1080.8954542962078
0.13939143981900615,800,-408.515014846435
0.07048927429759728,800,-943.7480837671187
0.014140700577937792,800,-2206.7162451315207
0.13986045942694794,1600,-842.3574351366815
0.07053958788802506,1600,-1925.7654988490374
0.014142425891663991,1600,-4468.872373773325
