Noise,N,0,1,2,3,4
0.0,100,0.9999999959021868,8.876786200861845e-10,6.015801812108453e-10,2.796622058409164e-10,4.955067113645551e-14
0.025,100,0.9999934214952976,1.9911969577635053e-06,5.038637152836086e-07,5.1837193668017664e-08,4.808941376424836e-15
0.0,200,0.9999999994982424,5.25956975337995e-11,2.353105771280637e-10,2.444570682750873e-11,3.5277442670317796e-13
0.025,200,0.9999999993013982,1.459319158138438e-10,1.9033701628451595e-10,5.384163950522519e-14,5.384163950522519e-14
0.0,400,0.9999999998741284,4.6196591281980607e-11,1.6099539793350898e-13,1.6099539793350898e-13,1.6099539793350898e-13
0.025,400,0.9999999999425198,4.81961093811368e-11,3.278975392692561e-12,3.278975392692561e-12,3.278975392692561e-12
0.0,800,0.9999999998019132,8.65782845800075e-11,-1.9470390748762244e-14,-1.9470390748762244e-14,-1.9470390748762244e-14
0.025,800,0.999998356369502,6.478622136931971e-07,8.100094182342918e-10,-1.3502976542345626e-13,-1.3502976542345626e-13
0.0,1600,0.9999999998340008,8.523047085410759e-11,1.0589057413087779e-11,9.038379990816195e-15,9.038379990816195e-15
0.025,1600,0.9999999999373428,1.9343549686367206e-11,-4.86782974591068e-12,9.792834482503743e-12,-4.86782974591068e-12
