Noise,N,x0,x1,x2,x3,x4
0.0000,100,0.4062,-0.3099,-0.4081,-0.5421,0.5265
0.0000,100,0.0271,0.0008,0.0086,0.4832,0.4996
0.0000,100,0.0727,-0.5039,0.4849,-0.0029,0.0131
0.0000,100,0.0782,-0.0098,-0.5239,0.4885,0.0232
0.0000,100,0.1267,-0.5177,-0.0225,-0.0546,-0.4618
0.0010,100,-0.4302,-0.6577,0.0564,-0.5769,-0.1963
0.0010,100,-0.1596,-0.1054,0.0053,0.4546,-0.5191
0.0010,100,-0.4109,-0.1851,0.0158,0.3205,0.4531
0.0010,100,0.6671,-0.6879,-0.0237,0.2535,0.0714
0.0010,100,0.0540,0.0269,0.9978,0.0235,0.0065
0.0000,200,0.2161,-0.4833,0.4855,0.2843,-0.6347
0.0000,200,0.6367,-0.2543,0.2548,0.1383,0.6676
0.0000,200,-0.1080,-0.4641,-0.0441,-0.5264,0.0538
0.0000,200,-0.4880,0.1943,0.8051,-0.1058,0.2541
0.0000,200,0.1092,0.4577,0.0337,0.5155,-0.0479
0.0010,200,-0.5661,0.1700,-0.0398,0.4718,0.6527
0.0010,200,-0.0364,0.0045,0.9991,0.0132,0.0185
0.0010,200,0.2379,-0.5245,0.0056,-0.0710,0.4098
0.0010,200,-0.3138,-0.4677,-0.0063,-0.4050,0.1378
0.0010,200,0.5773,-0.0580,0.0115,0.3298,0.2573
0.0000,400,0.1242,-0.4384,-0.1010,-0.0339,0.8837
0.0000,400,0.4179,-0.1012,-0.5324,-0.0129,-0.1702
0.0000,400,0.2810,-0.5998,-0.0178,-0.0059,-0.3420
0.0000,400,0.0305,-0.0085,0.4970,-0.5012,0.0306
0.0000,400,0.1962,0.4225,-0.0168,-0.5059,0.1562
0.0010,400,0.0835,0.1194,0.1038,0.8482,-0.4984
0.0010,400,-0.1691,0.0286,-0.0240,0.3551,0.5794
0.0010,400,-0.4886,-0.0642,0.4297,0.1325,0.2263
0.0010,400,-0.0919,0.4885,0.4842,-0.0859,0.0526
0.0010,400,0.3299,-0.4853,0.0453,0.2439,0.3545
0.0000,800,-0.3503,0.6024,-0.6845,-0.2048,0.0620
0.0000,800,-0.0731,0.0328,-0.0373,0.4887,0.5033
0.0000,800,-0.3131,0.1387,0.3416,-0.0447,0.5131
0.0000,800,-0.6026,-0.7312,-0.3062,-0.0888,0.0261
0.0000,800,-0.4408,0.1978,0.2749,0.4339,0.0195
0.0010,800,-0.1564,0.1078,-0.7490,-0.3187,-0.5488
0.0010,800,-0.1113,0.5107,-0.0705,0.4685,-0.0536
0.0010,800,-0.1005,0.0111,0.4396,-0.0310,-0.5506
0.0010,800,0.3253,-0.5276,-0.2873,0.0857,0.1508
0.0010,800,0.1226,-0.0125,0.0769,0.5361,-0.4395
0.0000,1600,0.4936,0.0476,0.0253,0.8613,0.1075
0.0000,1600,-0.4835,-0.0157,-0.0083,0.2207,0.4647
0.0000,1600,-0.0475,0.9985,-0.0008,-0.0275,-0.0034
0.0000,1600,0.4174,0.0129,0.5068,-0.2598,0.0293
0.0000,1600,0.0670,0.0022,-0.4988,0.0389,-0.4951
0.0010,1600,0.6229,-0.0706,0.7707,-0.1108,-0.0262
0.0010,1600,0.0705,0.9969,0.0336,-0.0048,-0.0011
0.0010,1600,-0.3687,0.0161,0.3280,0.0258,0.5061
0.0010,1600,0.3323,-0.0142,-0.3388,-0.5219,-0.0051
0.0010,1600,0.0671,-0.0029,0.0323,0.4955,0.4989
