Noise,N,0,1,2,3,4
0.0000,100,0.7569,-0.0235,0.5296,-0.3816,0.0213
0.0000,100,0.2934,-0.1733,-0.0259,0.5127,-0.7876
0.0000,100,-0.5279,0.0692,0.8217,0.0785,-0.1878
0.0000,100,0.2295,0.7368,0.0969,0.5603,0.2849
0.0000,100,-0.0984,0.6494,-0.1853,-0.5210,-0.5127
0.0250,100,-0.4188,-0.4368,-0.0012,0.4628,0.6478
0.0250,100,-0.4159,0.6137,-0.6576,0.0146,0.1332
0.0250,100,-0.1458,0.5584,0.6912,-0.1659,0.4020
0.0250,100,0.6568,0.3223,-0.0650,0.6562,0.1730
0.0250,100,0.4461,-0.1298,-0.2926,-0.5723,0.6091
0.0000,200,-0.2136,-0.1985,0.5478,0.4400,-0.6491
0.0000,200,0.6802,-0.0476,-0.5014,0.2126,-0.4883
0.0000,200,0.1515,0.8933,0.2672,-0.2181,-0.2453
0.0000,200,0.3920,-0.4000,0.4080,-0.7070,-0.1416
0.0000,200,0.5612,0.0204,0.4590,0.4625,0.5099
0.0250,200,0.5419,-0.4836,0.2357,-0.2322,0.6026
0.0250,200,0.1565,0.4561,0.0630,0.7291,0.4815
0.0250,200,-0.1775,-0.2166,-0.8956,0.0232,0.3449
0.0250,200,-0.8061,-0.2083,0.3691,-0.0012,0.4129
0.0250,200,-0.0230,0.6840,-0.0467,-0.6434,0.3399
0.0000,400,0.5862,0.6486,0.2152,0.2795,0.3335
0.0000,400,-0.2619,0.4790,-0.1465,0.4066,-0.7178
0.0000,400,0.0179,-0.1082,0.9311,-0.1090,-0.3305
0.0000,400,-0.5597,-0.0862,0.2392,0.6403,0.4605
0.0000,400,0.5237,-0.5750,-0.0903,0.5785,-0.2287
0.0250,400,-0.1326,0.2824,-0.1280,-0.2952,-0.8940
0.0250,400,-0.4080,-0.4834,-0.7717,0.0649,-0.0032
0.0250,400,-0.0568,-0.7448,0.4585,-0.4606,-0.1404
0.0250,400,0.5815,0.0736,-0.4103,-0.6647,0.2152
0.0250,400,-0.6889,0.3555,0.0976,-0.5047,0.3671
0.0000,800,0.5727,0.0377,-0.2965,-0.2453,-0.7228
0.0000,800,-0.3942,-0.4050,0.1616,-0.7987,-0.1287
0.0000,800,0.3779,-0.8378,0.2681,0.2846,0.0491
0.0000,800,-0.3984,-0.3637,-0.8054,0.2314,-0.0828
0.0000,800,0.4638,-0.0205,-0.4068,-0.4091,0.6721
0.0250,800,0.2220,-0.0256,-0.3663,0.9020,0.0481
0.0250,800,0.3695,-0.7704,0.4014,0.0674,-0.3230
0.0250,800,-0.4671,-0.6142,-0.2846,-0.0483,0.5667
0.0250,800,-0.1858,-0.1652,-0.6618,-0.1914,-0.6809
0.0250,800,0.7493,-0.0364,-0.4310,-0.3781,0.3295
0.0000,1600,0.5567,0.2154,0.2552,0.6198,-0.4410
0.0000,1600,0.4926,0.6087,-0.0395,-0.2265,0.5779
0.0000,1600,-0.3511,0.2833,-0.6178,0.6126,0.1987
0.0000,1600,0.5578,-0.6377,-0.4952,0.0554,0.1841
0.0000,1600,-0.1143,-0.3101,0.5535,0.4315,0.6310
0.0250,1600,0.1939,0.9200,0.1645,-0.1345,0.2662
0.0250,1600,0.2821,0.2269,-0.0309,0.0838,-0.9279
0.0250,1600,-0.3456,0.2290,-0.2117,0.8842,0.0379
0.0250,1600,-0.2182,-0.0712,0.9538,0.1658,-0.1005
0.0250,1600,0.8461,-0.2113,0.1321,0.4068,0.2379
