Noise,N,0,1,2,3,4
0.0000,100,0.7025,19481.0913,8619.8945,24531.6542,49142.8913
0.0010,100,0.6089,808644.4750,8573306.7562,135338.7562,41850.4693
0.0000,200,0.6894,7862.7337,8901.0622,40912.4445,143591.9111
0.0010,200,0.7121,195485.4711,669876.4499,1879401.0441,77928.9418
0.0000,400,0.6972,449384.0701,865072.5892,2786101.8681,1346378.7378
0.0010,400,0.6850,76422.7758,948213.7877,2970568.6415,371250.1729
0.0000,800,0.6948,428175.7434,1380029.0375,475757.1035,20432982.6136
0.0010,800,0.6959,800126.4421,1303658.6037,2568295.2546,620799.9829
0.0000,1600,0.6898,156956.1979,156578.7502,80878.8468,76414.0232
0.0010,1600,0.6820,656401.4993,1233347.9930,10484.0751,383172.0317
