Noise,N,0,1,2,3,4
0.0,100,1.0,1.0,1.0,1.0,1.0
0.0,100,1.0,1.0,1.0,1.0,1.0
0.0,100,1.0,1.0,1.0,1.0,1.0
0.0,100,1.0,1.0,1.0,1.0,1.0
0.0,100,1.0,1.0,1.0,1.0,1.0
0.001,100,1.0,1.0,1.0,1.0,1.0
0.001,100,1.0,1.0,1.0,1.0,1.0
0.001,100,1.0,1.0,1.0,1.0,1.0
0.001,100,1.0,1.0,1.0,1.0,1.0
0.001,100,1.0,1.0,1.0,1.0,1.0
0.0,200,1.0,1.0,1.0,1.0,1.0
0.0,200,1.0,1.0,1.0,1.0,1.0
0.0,200,1.0,1.0,1.0,1.0,1.0
0.0,200,1.0,1.0,1.0,1.0,1.0
0.0,200,1.0,1.0,1.0,1.0,1.0
0.001,200,1.0,1.0,1.0,1.0,1.0
0.001,200,1.0,1.0,1.0,1.0,1.0
0.001,200,1.0,1.0,1.0,1.0,1.0
0.001,200,1.0,1.0,1.0,1.0,1.0
0.001,200,1.0,1.0,1.0,1.0,1.0
0.0,400,1.0,1.0,1.0,1.0,1.0
0.0,400,1.0,1.0,1.0,1.0,1.0
0.0,400,1.0,1.0,1.0,1.0,1.0
0.0,400,1.0,1.0,1.0,1.0,1.0
0.0,400,1.0,1.0,1.0,1.0,1.0
0.001,400,1.0,1.0,1.0,1.0,1.0
0.001,400,1.0,1.0,1.0,1.0,1.0
0.001,400,1.0,1.0,1.0,1.0,1.0
0.001,400,1.0,1.0,1.0,1.0,1.0
0.001,400,1.0,1.0,1.0,1.0,1.0
0.0,800,1.0,1.0,1.0,1.0,1.0
0.0,800,1.0,1.0,1.0,1.0,1.0
0.0,800,1.0,1.0,1.0,1.0,1.0
0.0,800,1.0,1.0,1.0,1.0,1.0
0.0,800,1.0,1.0,1.0,1.0,1.0
0.001,800,1.0,1.0,1.0,1.0,1.0
0.001,800,1.0,1.0,1.0,1.0,1.0
0.001,800,1.0,1.0,1.0,1.0,1.0
0.001,800,1.0,1.0,1.0,1.0,1.0
0.001,800,1.0,1.0,1.0,1.0,1.0
0.0,1600,1.0,1.0,1.0,1.0,1.0
0.0,1600,1.0,1.0,1.0,1.0,1.0
0.0,1600,1.0,1.0,1.0,1.0,1.0
0.0,1600,1.0,1.0,1.0,1.0,1.0
0.0,1600,1.0,1.0,1.0,1.0,1.0
0.001,1600,1.0,1.0,1.0,1.0,1.0
0.001,1600,1.0,1.0,1.0,1.0,1.0
0.001,1600,1.0,1.0,1.0,1.0,1.0
0.001,1600,1.0,1.0,1.0,1.0,1.0
0.001,1600,1.0,1.0,1.0,1.0,1.0
