Noise,N,0,1,2,3,4
0.0000,100,0.7055,555177.7378,612308.7598,2024342.2545,1017253.3875
0.0250,100,0.6871,17163.6146,21496.3141,14643.9736,13357.9005
0.0000,200,0.7088,1250310.9567,1535999.0705,963751.9482,1109193.7447
0.0250,200,0.7276,36149.7780,39453.7483,23611.1314,34281.7676
0.0000,400,1.1819,523115.1293,615904.3215,625202.7935,568737.2041
0.0250,400,0.7268,85724.2311,89328.1442,107887.5276,92141.2060
0.0000,800,1.1178,403709.1868,416804.3969,413664.8672,427750.1655
0.0250,800,1.1735,14081.7722,13359.1402,15210.3949,14703.7015
0.0000,1600,0.7020,132097.2093,125366.4320,131712.1093,122993.5086
0.0250,1600,0.7084,2289.5124,2229.1223,2307.1035,2234.0379
