Noise,N,0,1,2,3,4
0.0980,100,0.2900,0.3227,0.5186,1.0000,1.0000
0.0484,100,0.0317,0.8558,0.9786,0.9788,1.0000
0.0093,100,0.0577,0.1472,0.7835,0.9644,1.0000
0.0992,200,0.2272,0.3651,0.6141,0.8515,1.0000
0.0522,200,0.0023,0.1439,0.2226,0.5267,1.0000
0.0098,200,0.0015,0.0408,0.6757,0.8005,1.0000
0.1015,400,0.0085,0.1319,0.1946,0.3754,1.0000
0.0493,400,0.1044,0.1646,0.3841,0.4292,1.0000
0.0103,400,0.0171,0.0270,0.1652,0.6967,1.0000
0.1014,800,0.0249,0.2938,0.3986,0.6228,1.0000
0.0478,800,0.1100,0.1190,0.3887,0.4811,1.0000
0.0100,800,0.1364,0.1480,0.4745,0.5500,1.0000
0.1000,1600,0.1962,0.3444,0.5440,0.7169,1.0000
0.0498,1600,0.0103,0.2319,0.2376,0.3305,1.0000
0.0101,1600,0.0129,0.0283,0.0677,0.4334,1.0000
