Noise,N,0,1,2,3,4
0.0980,100,0.2900,0.0267,0.0889,0.0708,0.0000
0.0484,100,0.0317,0.7575,0.0432,0.0002,0.0090
0.0093,100,0.0577,0.0781,0.4562,0.0594,0.0114
0.0992,200,0.2272,0.1113,0.1810,0.0482,0.0382
0.0522,200,0.0023,0.1335,0.0448,0.0430,0.1413
0.0098,200,0.0015,0.0340,0.4831,0.0126,0.0124
0.1015,400,0.0085,0.0891,0.0023,0.0508,0.2316
0.0493,400,0.1044,0.0388,0.1178,0.0104,0.0752
0.0103,400,0.0171,0.0077,0.0890,0.2406,0.0120
0.1014,800,0.0249,0.2263,0.0276,0.0165,0.0291
0.0478,800,0.1100,0.0013,0.0738,0.0024,0.1231
0.0100,800,0.1364,0.0059,0.1334,0.0068,0.0152
0.1000,1600,0.1962,0.0539,0.1067,0.0112,0.0145
0.0498,1600,0.0103,0.2060,0.0006,0.0153,0.0806
0.0101,1600,0.0129,0.0054,0.0266,0.1716,0.0699
