Noise,N,0,1,2,3,4
0.0980,100,1.0000,0.0000,0.0000,0.0000,0.0000
0.0980,100,0.0000,1.0000,0.0000,0.0000,0.0000
0.0980,100,0.0000,0.0000,1.0000,0.0000,0.0000
0.0980,100,0.0000,0.0000,0.0000,1.0000,0.0000
0.0980,100,0.0000,0.0000,0.0000,0.0000,1.0000
0.0484,100,1.0000,0.0000,0.0000,0.0000,0.0000
0.0484,100,0.0000,1.0000,0.0000,0.0000,0.0000
0.0484,100,0.0000,0.0000,1.0000,0.0000,0.0000
0.0484,100,0.0000,0.0000,0.0000,1.0000,0.0000
0.0484,100,0.0000,0.0000,0.0000,0.0000,1.0000
0.0093,100,1.0000,0.0000,0.0000,0.0000,0.0000
0.0093,100,0.0000,1.0000,0.0000,0.0000,0.0000
0.0093,100,0.0000,0.0000,1.0000,0.0000,0.0000
0.0093,100,0.0000,0.0000,0.0000,1.0000,0.0000
0.0093,100,0.0000,0.0000,0.0000,0.0000,1.0000
0.0992,200,1.0000,0.0000,0.0000,0.0000,0.0000
0.0992,200,0.0000,1.0000,0.0000,0.0000,0.0000
0.0992,200,0.0000,0.0000,1.0000,0.0000,0.0000
0.0992,200,0.0000,0.0000,0.0000,1.0000,0.0000
0.0992,200,0.0000,0.0000,0.0000,0.0000,1.0000
0.0522,200,1.0000,0.0000,0.0000,0.0000,0.0000
0.0522,200,0.0000,1.0000,0.0000,0.0000,0.0000
0.0522,200,0.0000,0.0000,1.0000,0.0000,0.0000
0.0522,200,0.0000,0.0000,0.0000,1.0000,0.0000
0.0522,200,0.0000,0.0000,0.0000,0.0000,1.0000
0.0098,200,1.0000,0.0000,0.0000,0.0000,0.0000
0.0098,200,0.0000,1.0000,0.0000,0.0000,0.0000
0.0098,200,0.0000,0.0000,1.0000,0.0000,0.0000
0.0098,200,0.0000,0.0000,0.0000,1.0000,0.0000
0.0098,200,0.0000,0.0000,0.0000,0.0000,1.0000
0.1015,400,1.0000,0.0000,0.0000,0.0000,0.0000
0.1015,400,0.0000,1.0000,0.0000,0.0000,0.0000
0.1015,400,0.0000,0.0000,1.0000,0.0000,0.0000
0.1015,400,0.0000,0.0000,0.0000,1.0000,0.0000
0.1015,400,0.0000,0.0000,0.0000,0.0000,1.0000
0.0493,400,1.0000,0.0000,0.0000,0.0000,0.0000
0.0493,400,0.0000,1.0000,0.0000,0.0000,0.0000
0.0493,400,0.0000,0.0000,1.0000,0.0000,0.0000
0.0493,400,0.0000,0.0000,0.0000,1.0000,0.0000
0.0493,400,0.0000,0.0000,0.0000,0.0000,1.0000
0.0103,400,1.0000,0.0000,0.0000,0.0000,0.0000
0.0103,400,0.0000,1.0000,0.0000,0.0000,0.0000
0.0103,400,0.0000,0.0000,1.0000,0.0000,0.0000
0.0103,400,0.0000,0.0000,0.0000,1.0000,0.0000
0.0103,400,0.0000,0.0000,0.0000,0.0000,1.0000
0.1014,800,1.0000,0.0000,0.0000,0.0000,0.0000
0.1014,800,0.0000,1.0000,0.0000,0.0000,0.0000
0.1014,800,0.0000,0.0000,1.0000,0.0000,0.0000
0.1014,800,0.0000,0.0000,0.0000,1.0000,0.0000
0.1014,800,0.0000,0.0000,0.0000,0.0000,1.0000
0.0478,800,1.0000,0.0000,0.0000,0.0000,0.0000
0.0478,800,0.0000,1.0000,0.0000,0.0000,0.0000
0.0478,800,0.0000,0.0000,1.0000,0.0000,0.0000
0.0478,800,0.0000,0.0000,0.0000,1.0000,0.0000
0.0478,800,0.0000,0.0000,0.0000,0.0000,1.0000
0.0100,800,1.0000,0.0000,0.0000,0.0000,0.0000
0.0100,800,0.0000,1.0000,0.0000,0.0000,0.0000
0.0100,800,0.0000,0.0000,1.0000,0.0000,0.0000
0.0100,800,0.0000,0.0000,0.0000,1.0000,0.0000
0.0100,800,0.0000,0.0000,0.0000,0.0000,1.0000
0.1000,1600,1.0000,0.0000,0.0000,0.0000,0.0000
0.1000,1600,0.0000,1.0000,0.0000,0.0000,0.0000
0.1000,1600,0.0000,0.0000,1.0000,0.0000,0.0000
0.1000,1600,0.0000,0.0000,0.0000,1.0000,0.0000
0.1000,1600,0.0000,0.0000,0.0000,0.0000,1.0000
0.0498,1600,1.0000,0.0000,0.0000,0.0000,0.0000
0.0498,1600,0.0000,1.0000,0.0000,0.0000,0.0000
0.0498,1600,0.0000,0.0000,1.0000,0.0000,0.0000
0.0498,1600,0.0000,0.0000,0.0000,1.0000,0.0000
0.0498,1600,0.0000,0.0000,0.0000,0.0000,1.0000
0.0101,1600,1.0000,0.0000,0.0000,0.0000,0.0000
0.0101,1600,0.0000,1.0000,0.0000,0.0000,0.0000
0.0101,1600,0.0000,0.0000,1.0000,0.0000,0.0000
0.0101,1600,0.0000,0.0000,0.0000,1.0000,0.0000
0.0101,1600,0.0000,0.0000,0.0000,0.0000,1.0000
