Noise,N,0,1,2,3,4
0.0980,100,0.9892,2.4353,0.7709,0.7647,3625.1992
0.0484,100,2.5055,0.7392,2.3053,3786.9324,3210.6937
0.0093,100,1.3188,2.1778,0.7637,1.8614,2434.2698
0.0992,200,1.2530,1.8660,1.7546,1.5610,2.6085
0.0522,200,1.4489,1.2347,0.5710,0.4568,0.9184
0.0098,200,5.6529,1.1515,0.7315,1.7524,1.6448
0.1015,400,0.5497,0.5831,0.9942,0.9062,0.8178
0.0493,400,1.1312,1.1417,0.4060,2.5831,0.9070
0.0103,400,1.4237,0.5906,0.5409,0.7140,0.8459
0.1014,800,1.0354,0.7485,0.5845,0.4564,1.0155
0.0478,800,0.7156,0.7982,0.3954,1.5176,1.0622
0.0100,800,0.8151,0.5780,0.7135,0.8295,0.5672
0.1000,1600,0.9691,1.0769,0.3774,1.3735,1.3721
0.0498,1600,0.5625,0.8241,1.2698,0.5006,0.6573
0.0101,1600,0.6489,0.4959,0.9756,0.5392,0.8426
