Noise,N,0,1,2,3,4
0.0980,100,0.9983,1.0000,1.0000,1.0000,1.0000
0.0484,100,0.9888,1.0000,1.0000,1.0000,1.0000
0.0093,100,0.9534,1.0000,1.0000,1.0000,1.0000
0.0992,200,0.7251,0.7971,0.8558,0.9184,1.0000
0.0522,200,0.4930,0.5495,0.8392,0.9740,1.0000
0.0098,200,0.7259,0.7676,0.8853,0.9686,1.0000
0.1015,400,0.5147,0.5477,0.6470,0.7973,1.0000
0.0493,400,0.4865,0.6205,0.7850,0.9770,1.0000
0.0103,400,0.4779,0.5056,0.6042,0.8382,1.0000
0.1014,800,0.4950,0.5233,0.5825,0.8315,1.0000
0.0478,800,0.4908,0.5563,0.7833,0.9767,1.0000
0.0100,800,0.4775,0.5002,0.5405,0.6587,1.0000
0.1000,1600,0.5073,0.6196,0.6830,0.8057,1.0000
0.0498,1600,0.5014,0.5204,0.6871,0.8277,1.0000
0.0101,1600,0.4984,0.5282,0.7897,0.9105,1.0000
