Noise,N,0
0.0979944654673637,100,-117.18543731954763
0.048443060652493056,100,-119.92716900820731
0.009329802149457472,100,-119.4445343291728
0.09919470158512192,200,-224.86444273761083
0.05222206905095077,200,-229.88990680201823
0.00978256369915774,200,-229.59662368278947
0.10146411316216493,400,-442.83168170640016
0.04928029854980694,400,-249.00454190414172
0.010287988014161153,400,-444.9044142100231
0.10137886597447154,800,-732.9128381980281
0.0477573653624784,800,-518.9180164861579
0.009987634647585036,800,-751.2041499985655
0.10003040744882842,1600,-391.92606854616037
0.049766506574559694,1600,-994.7037848829283
0.01012885198244404,1600,-1057.7284453765765
