Noise,N,0,1
0.1,100,0.08912123998958217,0.17097388239490866
0.05,100,0.07612548461752669,0.12080224025525373
0.01,100,0.082371948461315,0.08312662719854311
0.1,200,0.0513292007150248,0.10237065563957072
0.05,200,0.12485671084637848,0.007994625916473845
0.01,200,0.018938548361997286,0.1039525994670914
0.1,400,0.01033733701354676,0.021418513555417386
0.05,400,0.016459123331072294,0.07624190009035058
0.01,400,0.007450064273753467,0.07235637161098893
0.1,800,0.007359183445264964,0.020715015440555998
0.05,800,0.01044766172233745,0.027069580097723683
0.01,800,0.009554922359339387,0.04327726717003152
0.1,1600,0.06073261467697675,0.005137715110463906
0.05,1600,0.009963613684678572,0.29823999606283325
0.01,1600,0.027014433811770128,0.014679342704882624
