Noise,N,0,1,2,3,4
0.1019,100,0.7506,0.2318,-0.0000,0.0002,-0.0000
0.0477,100,0.6953,0.2552,0.0000,0.0022,0.0159
0.0100,100,0.6794,0.2762,0.0000,0.0000,0.0138
0.1011,200,0.5048,0.4832,0.0000,0.0000,0.0000
0.0519,200,0.4981,0.4892,0.0000,0.0000,0.0000
0.0099,200,0.4996,0.4957,0.0000,0.0000,0.0000
0.1009,400,0.4989,0.4952,0.0000,0.0000,0.0000
0.0498,400,0.5018,0.4941,0.0000,0.0000,0.0000
0.0103,400,0.5021,0.4953,0.0000,0.0000,0.0000
0.0979,800,0.5006,0.4970,-0.0000,-0.0000,-0.0000
0.0498,800,0.5024,0.4961,0.0000,0.0000,0.0000
0.0103,800,0.5010,0.4976,0.0000,0.0000,0.0000
0.1004,1600,0.5009,0.4979,0.0000,0.0000,0.0000
0.0508,1600,0.4987,0.5004,0.0000,0.0000,0.0000
0.0101,1600,0.5010,0.4987,0.0000,0.0000,0.0000
