Noise,N,0,1,2,3,4
0.1019,100,0.7533,0.9994,1.0000,1.0000,1.0000
0.0477,100,0.7076,0.9782,0.9928,1.0000,1.0000
0.0100,100,0.7077,1.0000,1.0000,1.0000,1.0000
0.1011,200,0.5048,0.9999,1.0000,1.0000,1.0000
0.0519,200,0.4982,1.0000,1.0000,1.0000,1.0000
0.0099,200,0.4996,1.0000,1.0000,1.0000,1.0000
0.1009,400,0.5023,1.0000,1.0000,1.0000,1.0000
0.0498,400,0.5015,1.0000,1.0000,1.0000,1.0000
0.0103,400,0.5021,1.0000,1.0000,1.0000,1.0000
0.0979,800,0.5022,1.0000,1.0000,1.0000,1.0000
0.0498,800,0.5038,1.0000,1.0000,1.0000,1.0000
0.0103,800,0.5026,1.0000,1.0000,1.0000,1.0000
0.1004,1600,0.5009,1.0000,1.0000,1.0000,1.0000
0.0508,1600,0.5013,1.0000,1.0000,1.0000,1.0000
0.0101,1600,0.5010,1.0000,1.0000,1.0000,1.0000
