Noise,N,0,1,2,3,4
0.1019,100,0.7533,0.2233,0.0001,0.0000,0.0000
0.0477,100,0.7076,0.2561,0.0091,0.0001,0.0000
0.0100,100,0.7077,0.2790,0.0000,0.0000,0.0000
0.1011,200,0.5048,0.4820,0.0000,-0.0000,-0.0000
0.0519,200,0.4982,0.4894,0.0000,0.0000,0.0000
0.0099,200,0.4996,0.4955,0.0000,0.0000,0.0000
0.1009,400,0.5023,0.4917,0.0000,0.0000,0.0000
0.0498,400,0.5015,0.4944,0.0000,0.0000,0.0000
0.0103,400,0.5021,0.4952,-0.0000,-0.0000,-0.0000
0.0979,800,0.5022,0.4954,-0.0000,-0.0000,-0.0000
0.0498,800,0.5038,0.4947,0.0000,0.0000,0.0000
0.0103,800,0.5026,0.4955,0.0000,0.0000,0.0000
0.1004,1600,0.5009,0.4978,0.0000,0.0000,0.0000
0.0508,1600,0.5013,0.4978,-0.0000,-0.0000,-0.0000
0.0101,1600,0.5010,0.4986,0.0000,-0.0000,0.0000
