Noise,N,0,1
0.1,100,0.4321217361823021,0.4580568100680389
0.05,100,0.4885959400555273,0.4216432416487941
0.01,100,0.4780454978878097,0.4501386976306704
0.1,200,0.4527839431689502,0.4040138478795453
0.05,200,0.4462395731927485,0.3931557111228789
0.01,200,0.5020357033432064,0.4808709686193277
0.1,400,0.4284878463953143,0.42374851331767627
0.05,400,0.4792310245729619,0.42022038580910104
0.01,400,0.5008504631158152,0.4757632244663778
0.1,800,0.4234826623854661,0.41706087095359007
0.05,800,0.4464365418910141,0.43768549430571135
0.01,800,0.4952058516046889,0.4876163016570756
0.1,1600,0.455128478740236,0.3762089896173195
0.05,1600,0.4492748466980796,0.417526613935362
0.01,1600,0.5075735968788879,0.4727358528558129
