Noise,N,0
0.10193904662223141,100,0.6837042313341318
0.047668108666974345,100,1.002923876271736
0.009963869453894809,100,1.0713535288445104
0.10109956296308613,200,1.084261989741884
0.05193671975522477,200,1.02579056930808
0.009921952585651721,200,0.9900206611618024
0.10085027919177897,400,0.908749336178858
0.04982767210437914,400,0.9171287967794096
0.010264865626140825,400,0.9050605767699332
0.09787977810795419,800,0.8559807301261405
0.04977222035632235,800,0.8583995374816138
0.010262218248538449,800,0.8580404631024764
0.1003938914682824,1600,0.8825845831856545
0.05083580888475029,1600,0.8510518671235284
0.010064916286619062,1600,0.7613701090505323
