Noise,N,0
0.10193904662223141,100,-75.99653393235643
0.047668108666974345,100,-58.76248280768896
0.009963869453894809,100,-77.41817545214249
0.10109956296308613,200,-171.7694362565286
0.05193671975522477,200,-153.03908860899466
0.009921952585651721,200,-140.313175657243
0.10085027919177897,400,-322.87785129813324
0.04982767210437914,400,-226.1083689488673
0.010264865626140825,400,-232.55070238427953
0.09787977810795419,800,-641.2378159544237
0.04977222035632235,800,-496.9627934220305
0.010262218248538449,800,-403.433626012217
0.1003938914682824,1600,-1433.551178888309
0.05083580888475029,1600,-1120.4068328579126
0.010064916286619062,1600,-853.0168460447121
