Noise,N,0,1
0.10193904662223141,100,0.5210431051463476,1.0
0.047668108666974345,100,0.5341949468167422,1.0
0.009963869453894809,100,0.5269505449614169,1.0
0.10109956296308613,200,0.5157343724909429,1.0
0.05193671975522477,200,0.5065092396547037,1.0
0.009921952585651721,200,0.5021581206029178,1.0
0.10085027919177897,400,0.4987594006525588,1.0
0.04982767210437914,400,0.5051439805946345,1.0
0.010264865626140825,400,0.5031887094513555,1.0
0.09787977810795419,800,0.5016164093850436,1.0
0.04977222035632235,800,0.5025522072345059,1.0
0.010262218248538449,800,0.5028827988426458,1.0
0.1003938914682824,1600,0.5025605937753082,1.0
0.05083580888475029,1600,0.5008893286646947,1.0
0.010064916286619062,1600,0.5015460299104476,1.0
