Noise,N,0
0.10193904662223141,100,-30.793642554620355
0.047668108666974345,100,-23.69019184210107
0.009963869453894809,100,-48.8289731916156
0.10109956296308613,200,-19.440153655016648
0.05193671975522477,200,-94.93467209257923
0.009921952585651721,200,-256.1915453359967
0.10085027919177897,400,-133.47369399819286
0.04982767210437914,400,-338.67873234612705
0.010264865626140825,400,-761.8323552696687
0.09787977810795419,800,-449.8398209382296
0.04977222035632235,800,-901.6126922582573
0.010262218248538449,800,-1904.8726404744245
0.1003938914682824,1600,-1082.8260571386447
0.05083580888475029,1600,-2042.4489285284799
0.010064916286619062,1600,-4309.0332458612875
