Noise,N,0,1,2,3,4
0.0000,100,-0.5300,-0.3548,0.2660,-0.7157,-0.1010
0.0000,100,-0.1013,0.1148,0.6312,0.3480,-0.6761
0.0000,100,0.5863,0.1845,-0.2222,-0.5323,-0.5380
0.0000,100,-0.5053,0.8204,-0.2354,-0.1112,-0.0620
0.0000,100,0.3312,0.3923,0.6527,-0.2662,0.4894
0.0010,100,-0.3007,-0.5428,-0.7798,0.0706,-0.0436
0.0010,100,-0.5678,-0.5131,0.5411,-0.2188,0.2716
0.0010,100,0.2433,0.0900,-0.2367,-0.3502,0.8684
0.0010,100,-0.6390,0.6073,-0.2075,-0.4106,-0.1060
0.0010,100,-0.3459,0.2555,0.0066,0.8099,0.3989
0.0000,200,0.4614,-0.4918,0.2630,-0.6893,0.0310
0.0000,200,-0.3401,-0.6516,0.3721,0.3973,0.4043
0.0000,200,-0.5076,-0.4054,-0.6757,-0.3150,-0.1489
0.0000,200,0.2786,0.1071,-0.4483,-0.0231,0.8423
0.0000,200,0.5798,-0.3972,-0.3672,0.5169,-0.3225
0.0010,200,0.4387,0.0544,0.5833,-0.4801,0.4836
0.0010,200,0.0186,-0.3725,0.6562,0.6434,-0.1277
0.0010,200,0.8322,0.2641,-0.1415,0.1885,-0.4268
0.0010,200,-0.1194,0.7589,0.0536,0.4730,0.4279
0.0010,200,-0.3168,0.4611,0.4542,-0.3102,-0.6201
0.0000,400,0.1654,-0.4338,-0.6181,0.0715,-0.6304
0.0000,400,-0.6200,0.4401,-0.5440,0.3387,0.1063
0.0000,400,0.4670,0.7359,-0.2177,-0.3837,-0.2140
0.0000,400,0.6083,0.0051,-0.2131,0.6278,0.4363
0.0000,400,0.0078,-0.2768,-0.4788,-0.5821,0.5960
0.0010,400,-0.0504,-0.3037,0.0841,-0.9317,-0.1738
0.0010,400,-0.3902,-0.4242,0.5010,0.3102,-0.5662
0.0010,400,-0.4758,0.6882,-0.2413,-0.1320,-0.4736
0.0010,400,0.7839,0.1469,0.0396,0.0255,-0.6013
0.0010,400,0.0652,0.4823,0.8259,-0.1331,0.2516
0.0000,800,-0.3119,0.8771,0.0727,0.3578,0.0119
0.0000,800,-0.4631,-0.2160,-0.1479,0.1833,-0.8267
0.0000,800,0.2444,-0.2888,0.3805,0.8419,0.0571
0.0000,800,0.1335,-0.0234,-0.9097,0.3527,0.1723
0.0000,800,-0.7815,-0.3165,0.0223,0.0721,0.5324
0.0010,800,-0.6615,-0.2717,0.2211,-0.4187,-0.5142
0.0010,800,-0.3458,0.3673,0.7379,0.2138,0.3940
0.0010,800,0.5909,-0.3870,0.5745,-0.4127,0.0275
0.0010,800,-0.1612,0.1716,-0.2669,-0.7237,0.5912
0.0010,800,0.2603,0.7823,0.0731,-0.2912,-0.4797
0.0000,1600,-0.4417,-0.5482,0.6125,0.2348,0.2722
0.0000,1600,0.2658,-0.6616,-0.3300,-0.5380,0.3054
0.0000,1600,0.5771,-0.4222,0.0123,0.5571,-0.4222
0.0000,1600,0.2955,0.1937,-0.1453,0.4539,0.8050
0.0000,1600,0.5602,0.2143,0.7034,-0.3729,0.0800
0.0010,1600,0.1098,0.7648,0.0939,-0.3578,-0.5160
0.0010,1600,-0.3722,-0.2811,-0.4121,-0.7822,-0.0285
0.0010,1600,0.0203,-0.1421,0.8619,-0.4215,0.2428
0.0010,1600,-0.9155,0.1410,0.2179,0.2752,-0.1370
0.0010,1600,-0.1041,0.5441,-0.1763,-0.0827,0.8095
