Noise,N,0,1
0.0,100,0.11258868934241012,0.05234324799728804
0.025,100,0.1772096110070009,0.016854299761717213
0.0,200,0.045188867704380666,0.06646823540941997
0.025,200,0.2409977720258029,0.0076573315877148645
0.0,400,0.048650318623856284,0.021425654267470538
0.025,400,0.01894890005798809,51.402851250497754
0.0,800,0.08006793588516163,0.005121155291237618
0.025,800,0.010660840657978357,0.0276737512409681
0.0,1600,0.005759216446662885,0.0030698735482028888
0.025,1600,0.007825880265636105,0.1127055491158498
