Noise,N,0,1,2,3,4
0.0000,100,0.6434,0.3887,229100.1366,272615.5568,11129048.6884
0.0010,100,0.8003,0.4864,932.3182,5928.4126,90022.2654
0.0000,200,0.8046,0.4982,107861.5904,4598776.3761,4377729.6132
0.0010,200,0.7947,0.4972,1321509.0668,621377.9614,1808842.6058
0.0000,400,0.7893,889.4554,622483.2409,5159651.0446,21558360.1649
0.0010,400,0.7920,0.4969,88861.9849,757613.2894,1069001.6417
0.0000,800,0.6361,0.6476,643243.8072,4983242.3099,28629038.4312
0.0010,800,83.8226,6456.7710,244436.9742,1530983.5058,978808.0492
0.0000,1600,69096.1693,686187.1612,1742335.1795,198643.8596,6107418.4036
0.0010,1600,0.7463,0.8894,731688.1828,4398449.4304,252013.6203
