Noise,N,0,1,2,3,4
0.0010,100,0.2592,0.5439,-0.6058,-0.1277,-0.5037
0.0010,100,0.3088,0.3215,0.6184,0.5296,-0.3720
0.0010,100,-0.5306,-0.2394,0.2210,-0.3084,-0.7192
0.0010,100,0.5229,-0.7364,-0.2318,0.2029,-0.2989
0.0010,100,-0.5315,-0.0335,-0.3847,0.7529,-0.0378
0.0000,100,0.1703,-0.8845,0.2664,-0.3294,-0.0958
0.0000,100,0.2543,0.3404,-0.1741,-0.8373,-0.2969
0.0000,100,0.8514,0.1996,0.4230,0.2219,0.0841
0.0000,100,0.4255,-0.2477,-0.8483,0.1734,0.0889
0.0000,100,-0.0187,0.0229,0.0145,-0.3335,0.9422
0.0010,200,0.2065,-0.5482,-0.3096,0.6554,-0.3626
0.0010,200,0.6772,-0.0774,0.3775,-0.3769,-0.5008
0.0010,200,0.3471,-0.0882,0.5772,0.4218,0.6006
0.0010,200,-0.3946,0.3814,0.5232,0.4101,-0.5068
0.0010,200,0.4717,0.7350,-0.3934,0.2869,0.0119
0.0000,200,0.7243,-0.1129,-0.6566,0.1031,-0.1449
0.0000,200,0.2593,0.8140,0.1602,-0.3704,-0.3276
0.0000,200,0.4196,0.2600,0.3937,0.5751,0.5202
0.0000,200,0.4322,-0.4929,0.6231,-0.1623,-0.3944
0.0000,200,-0.2128,0.1189,0.0025,0.7036,-0.6675
0.0010,400,0.1575,-0.4034,-0.8112,-0.1027,-0.3792
0.0010,400,0.7591,-0.0078,0.3412,0.2758,-0.4809
0.0010,400,0.4570,0.6943,-0.3385,-0.3489,0.2698
0.0010,400,0.0874,-0.2897,0.3328,-0.8839,-0.1281
0.0010,400,-0.4272,0.5208,0.0131,-0.1020,-0.7319
0.0000,400,0.1160,-0.3008,0.1622,0.9306,-0.0604
0.0000,400,0.3547,-0.4995,-0.7127,-0.0596,0.3363
0.0000,400,-0.6290,-0.6319,0.2897,-0.1562,0.3110
0.0000,400,0.2606,-0.5033,0.1440,-0.2699,-0.7650
0.0000,400,0.6302,-0.0861,0.6009,-0.1820,0.4487
0.0010,800,0.3056,0.8380,-0.0052,-0.3421,0.2954
0.0010,800,0.4541,-0.0877,0.1642,0.6696,0.5574
0.0010,800,0.6652,-0.0274,0.3951,-0.0251,-0.6325
0.0010,800,0.4962,-0.4599,-0.5147,-0.4694,0.2388
0.0010,800,0.1082,0.2788,-0.7430,0.4622,-0.3807
0.0000,800,0.1456,-0.4639,-0.7606,-0.3266,-0.2800
0.0000,800,-0.1743,0.4587,-0.3328,0.5501,-0.5881
0.0000,800,0.7108,-0.3955,0.2050,0.5249,-0.1441
0.0000,800,0.5595,0.5094,0.1531,-0.5300,-0.3508
0.0000,800,-0.3607,-0.3981,0.4952,-0.1853,-0.6572
0.0010,1600,-0.0786,-0.8545,0.3989,-0.1133,0.3028
0.0010,1600,-0.1827,-0.1550,-0.7628,-0.4999,0.3330
0.0010,1600,-0.3688,-0.3812,-0.2508,0.1005,-0.8035
0.0010,1600,0.5095,0.0042,0.1939,-0.7425,-0.3892
0.0010,1600,0.7516,-0.3169,-0.3982,0.4193,-0.0179
0.0000,1600,0.6363,-0.5961,-0.2683,-0.0273,0.4087
0.0000,1600,-0.3093,0.1944,-0.6011,0.5811,0.4093
0.0000,1600,-0.6426,-0.4175,-0.2045,-0.5683,0.2193
0.0000,1600,0.2458,0.6546,-0.1273,-0.5385,0.4526
0.0000,1600,0.1617,0.0633,-0.7132,-0.2205,-0.6423
