Noise,N,x0,x1,x2,x3,x4
0.0010,100,0.2535,0.5452,-0.6078,-0.1205,-0.5044
0.0010,100,0.5798,0.2758,0.7168,-0.0117,-0.2715
0.0010,100,-0.5385,-0.2208,0.2246,0.0062,-0.7815
0.0010,100,0.5545,-0.7574,-0.2478,-0.0086,-0.2394
0.0010,100,0.0458,0.0643,-0.0689,0.9926,-0.0616
0.0000,100,0.1479,-0.8991,0.2529,-0.3118,-0.0910
0.0000,100,0.7093,0.3825,0.4080,-0.4283,-0.0251
0.0000,100,0.0110,-0.0220,0.5124,0.4866,-0.0011
0.0000,100,0.2533,-0.0938,-0.4123,-0.0882,0.4989
0.0000,100,-0.2344,0.0449,-0.0647,-0.4372,0.4976
0.0010,200,0.2152,-0.5427,-0.3111,0.6578,-0.3599
0.0010,200,0.1120,-0.6069,-0.0942,-0.6864,-0.1970
0.0010,200,-0.4750,-0.3899,0.2665,0.2530,0.5355
0.0010,200,-0.5478,0.0260,0.2135,-0.0494,-0.6244
0.0010,200,-0.4710,0.1073,-0.8606,-0.0920,0.1323
0.0000,200,0.7269,-0.1142,-0.6525,0.1040,-0.1479
0.0000,200,0.6531,-0.0414,0.7532,0.0388,-0.0538
0.0000,200,0.1465,-0.0097,-0.0574,0.0090,0.9875
0.0000,200,-0.1130,-0.9925,0.0445,-0.0070,0.0097
0.0000,200,-0.1037,0.0067,0.0397,0.9937,0.0087
0.0010,400,0.1494,-0.3832,-0.8301,-0.1002,-0.3628
0.0010,400,0.6717,-0.4007,0.4815,-0.0264,-0.3946
0.0010,400,0.5163,0.8114,-0.1992,-0.0024,-0.1880
0.0010,400,-0.5086,0.1786,0.1849,0.0014,-0.8217
0.0010,400,-0.0348,0.0475,0.0716,-0.9946,0.0463
0.0000,400,0.1022,-0.2702,0.1447,0.9449,-0.0530
0.0000,400,0.7316,-0.4639,0.4155,-0.2766,-0.0212
0.0000,400,-0.4978,-0.8364,-0.1642,-0.1603,-0.0003
0.0000,400,0.4542,-0.1076,-0.8826,0.0555,0.0042
0.0000,400,0.0189,-0.0240,0.0202,0.0441,0.9984
0.0010,800,0.2889,0.8564,-0.0044,-0.3245,0.2788
0.0010,800,0.6973,-0.4941,-0.0011,-0.3728,0.3613
0.0010,800,0.4734,0.1209,0.0001,0.8611,0.1404
0.0010,800,0.4541,0.0878,0.0003,-0.1187,-0.8786
0.0010,800,-0.0019,-0.0032,-1.0000,0.0019,-0.0018
0.0000,800,0.1404,-0.4554,-0.7741,-0.3155,-0.2718
0.0000,800,-0.1861,0.5496,-0.5724,0.3642,0.1912
0.0000,800,0.2380,-0.1144,0.1760,0.1231,-0.3084
0.0000,800,-0.1945,0.4631,-0.1160,-0.2317,-0.2631
0.0000,800,-0.6451,0.0196,0.1360,-0.1260,-0.6191
0.0010,1600,-0.0726,-0.8726,0.3759,-0.1058,0.2842
0.0010,1600,-0.5170,0.4281,0.4554,-0.3923,0.4339
0.0010,1600,-0.4984,-0.2190,-0.4365,-0.5695,-0.4345
0.0010,1600,0.4913,0.0843,0.5223,-0.4898,-0.4888
0.0010,1600,0.4876,0.0151,-0.4336,-0.5203,0.5507
0.0000,1600,0.6398,-0.5969,-0.2638,-0.0263,0.4048
0.0000,1600,0.5969,0.7827,-0.0960,-0.0096,0.1474
0.0000,1600,-0.4048,0.1473,0.0651,0.0065,0.9000
0.0000,1600,-0.2638,0.0961,-0.9575,0.0042,-0.0652
0.0000,1600,-0.0263,0.0096,0.0042,-0.9996,-0.0065
