Noise,N,0,1,2,3,4
0.001,100,0.999999984263626,3.3680826971244797e-09,2.0736840596765167e-09,4.650544791978044e-09,-1.2783676725802125e-11
0.0,100,0.9999999999999996,1.5336965928874578e-13,1.5336965928874578e-13,1.5336965928874578e-13,1.5336965928874578e-13
0.001,200,0.9999999994803944,-2.5433140529557985e-10,-7.326443874667672e-10,-2.79610324714175e-10,-5.064808815847834e-10
0.0,200,0.9999999999999998,-1.4200754219896263e-12,-1.4200754219896263e-12,-1.4200754219896263e-12,-1.4200754219896263e-12
0.001,400,0.999999982834422,1.2770806762659698e-09,-3.9341683190871866e-09,7.449507472065176e-09,2.3695988900038865e-09
0.0,400,0.9999999999999996,1.093570226135679e-12,1.093570226135679e-12,1.093570226135679e-12,1.093570226135679e-12
0.001,800,0.9999999999999996,-7.131399557652679e-11,-7.131399557652679e-11,-7.131399557652679e-11,-7.131399557652679e-11
0.0,800,1.0,-4.713152498024742e-12,-4.713152498024742e-12,-4.713152498024742e-12,-4.713152498024742e-12
0.001,1600,0.9999999996177606,-3.0962573176179373e-09,-3.0962573176179373e-09,-3.0962573176179373e-09,-3.0962573176179373e-09
0.0,1600,0.9999999999999998,8.12475196450395e-12,8.12475196450395e-12,8.12475196450395e-12,8.12475196450395e-12
