Noise,N,0,1,2,3,4
0.0010,100,0.7143,75951.5155,255852.8731,33797.1435,95848.8767
0.0000,100,0.7002,1956898.4280,2219700.3376,1965816.3902,2886947.4131
0.0010,200,0.7010,170924.9036,171636.5520,217744.0713,184080.5546
0.0000,200,0.6998,1825242.3537,2044569.9563,1699432.3420,2324076.5080
0.0010,400,0.7067,204850.2620,218814.9383,203210.2408,208981.4618
0.0000,400,0.6993,1476957.6662,1721972.5374,1624611.6993,1430843.3449
0.0010,800,0.6935,342530.0898,369268.3274,348615.7198,366355.5565
0.0000,800,0.6949,992529.6802,940768.0781,935130.8137,943956.1440
0.0010,1600,0.6978,211949.3805,210926.0239,210030.8924,216303.6506
0.0000,1600,0.6940,933468.5218,906557.4345,910048.6969,938269.8096
