Noise,N,0,1,2,3,4
0.001,100,0.7142819974657719,75951.51545168382,255852.873142648,33797.143467670474,95848.87668068377
0.0,100,0.7001814534804016,1956898.4280202247,2219700.337584836,1965816.3902339262,2886947.4131117905
0.001,200,0.7009831989144534,170924.90358576472,171636.55197262028,217744.07129215292,184080.55461034997
0.0,200,0.6998163762842522,1825242.353746149,2044569.956326031,1699432.3420419719,2324076.5079665333
0.001,400,0.7067388514366862,204850.26200602602,218814.93828618253,203210.24075053527,208981.46180450846
0.0,400,0.6993463177457386,1476957.6662027559,1721972.537412778,1624611.6993037853,1430843.3448709438
0.001,800,0.6935183083016065,342530.0898495375,369268.3274349303,348615.71975653764,366355.55654264643
0.0,800,0.6949162536896271,992529.6801509431,940768.078148945,935130.8137208571,943956.1440187664
0.001,1600,0.6978211728908483,211949.3805245,210926.02390300395,210030.89242351585,216303.65056045933
0.0,1600,0.6939533036578993,933468.521759902,906557.4344633605,910048.6969336177,938269.8096315209
